background,x,y,PC1,PC2,PC3
background,-11.3,70.7,-10325.7450989392,5230.76878985576,-1449.01651784156
background,18.5,64.3,-1775.19162958019,-106.603625467297,-946.257661834908
background,48.1,59.9,-358.861922054306,964.786069840755,127.750595943548
background,69.3,54.7,-1077.66159355379,-7848.10950922594,464.750658553198
background,30.1,53.5,-1214.35966350372,-3324.99528525895,940.109065821014
background,63.5,50.9,-1622.00235693084,-9762.46467523863,607.882619864665
background,28.9,42.1,-6844.21636846023,2517.77108597714,4118.11816246257
background,51.5,37.7,-857.530513740067,2182.08702922624,399.218064477037
background,11.7,31.5,2991.47238036266,-1248.96678719744,8.06170106148907
background,101.7,20.9,4916.5692452107,2564.48146979724,-1131.4184016751
background,-26.9,14.5,5357.18588019697,2012.96222881505,38.5342425584398
background,-34.5,10.9,7165.5929463136,1631.82070952307,-1087.77673995662
background,15.1,6.09999999999999,8066.68236556127,3562.59816064684,-1704.24902599159
background,7.70000000000002,-0.700000000000003,8070.5127305654,1015.59360578476,-1715.59790989981
background,12.7,-0.900000000000006,8283.76917315663,3811.68257312704,-1761.25910389642
background,-3.09999999999999,-6.90000000000001,7922.07035309228,753.128893542229,-1688.15068683222
background,17.5,-8.5,6647.7893823636,1662.61513719631,-1230.59647246928
background,-39.7,-12.7,5020.01362232578,-577.71963324124,303.406886706662
background,8.90000000000001,-15.9,4066.93693336008,-2158.70731828848,801.051476074256
background,26.3,-16.3,4381.90186043817,234.793500249264,512.240128152048
background,-21.7,-17.5,3548.09800829642,-6751.80576965093,896.065349823377
background,14.9,-17.9,4421.10559266376,2344.34984992632,703.963969728065
background,-1.69999999999999,-19.3,2959.81875367423,911.231150824187,1059.67617721962
background,-7.5,-21.5,2927.26941468969,117.282177986192,1065.68833504609
background,22.3,-24.5,4483.49747783704,344.121827940453,-346.991874983126
background,12.3,-26.7,3873.90979499992,640.515795710393,-726.857906041945
background,-10.3,-27.5,3279.52487664282,-1027.01377549596,-305.487830765881
background,-9.29999999999998,-29.7,3329.55077125526,-368.378957956323,-316.268043060693
background,-18.7,-31.7,-5833.75659597543,706.26055040812,4448.88225737517
background,-9.5,-31.7,-5892.90816688902,-1235.15705187967,3928.42304351908
background,-18.7,-32.3,-5813.038549066,979.041761726197,4444.42160079083
background,10.1,-34.1,608.268014530008,215.292726455248,710.554529026059
background,-8.69999999999999,-35.3,-1231.94627055501,-3656.06046570097,1884.80770419852
background,26.5,-36.1,-467.55194897428,1746.91264183099,2251.10644979585
background,-19.7,-38.5,4841.05092793819,-88.0970879681515,-1105.34450057379
background,-10.9,-38.9,4741.88263454374,-3304.38938624649,-258.595574788459
background,12.3,-40.7,4162.06477974417,-147.744077317975,516.907417559981
background,46.3,-43.7,5189.838559985,1284.17662507446,-435.210551610736
background,116.9,-46.1,2508.34741822509,1365.78216643189,1024.30750715951
background,6.10000000000002,-46.3,6209.56793002045,-602.530741183768,-807.975057618783
background,120.5,-46.9,2647.45222955995,1781.89665645617,994.890092352219
background,26.7,-47.7,6095.35148745622,351.403630064574,-677.661560109389
background,114.3,-50.7,1710.24594618959,3055.12964343813,740.127171962186
background,131.5,-53.1,6250.25691278813,373.039011573758,-1476.28441057189
background,-38.7,-56.5,7921.96543050425,271.41709781168,-1676.10108116629
background,101.3,-58.3,-3885.45556787002,-727.849349857494,1960.3019833313
background,-39.3,-60.3,7891.54870924065,262.945845925208,-1680.21292998346
background,97.5,-61.1,-12732.3378830504,-4018.5484004271,4959.3572705968
background,82.7,-62.3,-8125.73013724768,-1672.67843984244,3450.50457834183
background,-16.5,-62.9,5435.88703498822,-7501.42836138244,-1431.15617376266
background,-20.7,-64.1,5195.34524497486,1813.22717708113,-1920.79583552169
background,0.900000000000006,-64.1,3499.313346105,-3482.91938784635,-1512.71864211748
background,-22.3,-65.9,5226.39760573604,2222.05235917663,-1927.4896607604
background,63.9,-66.9,-12397.14345469,-11172.6163341017,3759.39637614036
background,82.9,-67.7,-18564.9784493579,-1292.88652566729,2499.37327927889
background,39.1,-68.9,-17208.1009782346,-5532.98632642188,2768.04640796524
background,81.3,-82.7,6028.23066060795,-6165.80929441799,-1700.06603237176
background,105.9,-82.9,7942.49630237403,102.137002540318,-1687.9345231469
background,103.7,-84.3,7718.08168700609,-1482.65234783792,-1642.63452382884
background,93.3,-86.3,7645.91905418398,-4512.66403244332,-1616.82175661693
