x,y,insect.M.distribution140t7.1_PA1_RUN2 logistic values
105.7,74.9,0.0
-6.69999999999999,63.3,0.0
48.5,59.7,0.0
51.7,56.5,0.0
36.3,54.3,0.0
50.5,51.3,0.0
39.3,48.1,0.0
52.1,46.3,0.0
101.1,38.7,0.0
103.5,38.5,0.0
89.7,33.7,0.0
6.30000000000001,32.3,0.0
85.1,25.3,0.0
7.10000000000002,22.7,0.0
-13.1,20.3,0.0
-10.9,18.7,0.0
-42.7,14.1,0.0
13.3,12.5,0.0
102.1,11.3,0.0
-21.1,2.89999999999999,0.0
122.1,1.69999999999999,0.0
31.3,0.699999999999989,0.0
32.1,0.5,0.0
27.5,-0.900000000000006,0.0
-39.5,-5.10000000000001,0.0
38.1,-9.10000000000001,0.0
19.7,-12.9,0.0
23.1,-13.7,0.0
21.9,-21.3,0.0
-11.5,-21.7,0.5
18.9,-23.9,0.0
17.3,-27.9,0.0
-27.9,-28.3,0.0
-25.1,-31.5,0.0
-0.899999999999977,-32.3,0.0
38.3,-33.5,0.0
39.3,-36.7,0.0
21.1,-36.9,0.0
19.7,-37.3,0.0
25.5,-42.9,0.0
-27.1,-46.1,0.0
-31.7,-48.1,0.0
20.9,-52.1,0.0
32.5,-54.5,0.0
31.1,-55.5,0.0
81.3,-60.1,0.0
70.1,-61.7,0.0
67.3,-62.3,0.0
103.9,-65.5,0.0
13.1,-66.9,0.0
111.7,-67.3,0.0
-34.5,-68.3,0.0
54.9,-68.3,0.0
-21.3,-74.9,0.0
36.9,-74.9,0.0
10.1,-77.7,0.0
66.1,-78.1,0.0
5.10000000000002,-78.3,0.0
116.3,-79.3,0.0
77.3,-80.7,0.0
