X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
1.3308,35.7007,train,0.0,0.0,0.0
-40.8758,36.1436,train,Infinity,100.0,NaN
0.5533,36.0223,train,0.0,0.0,0.0
77.9262,56.7389,train,0.0,0.0,0.0
57.2682,40.9914,train,0.0,0.0,0.0
1.2819,37.671,train,0.0,0.0,0.0
-51.6012,-1.9385,train,0.0,0.0,0.0
30.9553,36.0985,train,0.0,0.0,0.0
12.5009,-39.3696,train,Infinity,100.0,NaN
1.1903,29.1038,train,0.0,0.0,0.0
42.7178,33.0179,train,0.0,0.0,0.0
126.5422,51.0326,train,0.0,0.0,0.0
13.9068,40.34,train,0.0,0.0,0.0
-40.8967,36.1455,train,Infinity,100.0,NaN
28.9386,11.1209,train,0.0,0.0,0.0
