X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
95.5153,46.077,train,Infinity,100.0,NaN
94.3441,39.1797,train,Infinity,100.0,NaN
11.3475,16.3257,train,0.0,0.0,0.0
98.1107,46.2216,train,Infinity,100.0,NaN
6.7137,29.5753,train,0.0,0.0,0.0
6.4096,29.4373,train,0.0,0.0,0.0
4.6553,32.7977,train,Infinity,100.0,NaN
99.7244,38.3947,train,Infinity,100.0,NaN
6.7488,35.3447,train,0.0,0.0,0.0
-10.155,-10.5441,train,Infinity,100.0,NaN
-10.1459,-10.5968,train,Infinity,100.0,NaN
3.5325,33.1929,train,Infinity,100.0,NaN
-10.1355,-10.5264,train,Infinity,100.0,NaN
-37.2955,-36.8613,train,0.0,0.0,0.0
94.3903,39.4722,train,Infinity,100.0,NaN
33.996,39.8632,train,Infinity,100.0,NaN
