background,x,y,PC1,PC2,PC3
background,147.7,74.5,4458.78106284155,958.874716420697,-407.685363122976
background,117.7,69.3,-3170.82283570875,-9036.29560870575,-1361.11333828585
background,66.3,61.3,4528.36215558613,1190.13219489762,-435.014356139545
background,64.9,60.7,4554.37144219914,515.92060294038,-405.48300971667
background,82.3,53.5,1960.80001769697,-2883.18495674026,-607.977808950293
background,52.7,50.5,-2559.90921160079,2945.79947126657,-53.784232273488
background,22.3,50.3,2601.99146575287,2620.79616041207,-661.502860464156
background,93.1,49.3,-2844.39724584979,598.845221127443,-747.355680209062
background,33.7,46.9,2054.19991579446,3407.78800516352,-361.256137094448
background,-39.1,34.1,-2202.26677758366,2192.70794888553,1114.35445184002
background,-17.3,33.1,-8185.23427122453,-4854.22953117981,1361.99467177336
background,77.3,32.9,-1098.0355315881,4311.7888871063,713.469802854109
background,53.9,31.7,-129.230510130514,4346.04000545135,622.446480775034
background,39.7,30.3,-245.306554974214,4336.99930178862,384.953452351708
background,57.9,27.9,-366.857270549526,4331.89625029421,505.980855695158
background,-39.5,16.7,1406.73683072551,-456.601882216868,561.072181630307
background,17.5,14.5,862.777619394732,3667.54186003042,676.604572423967
background,3.5,12.1,1399.68867754691,-5479.72753935136,1103.14569713105
background,-7.89999999999998,8.69999999999999,2525.95842349089,1750.06397189227,441.938107571595
background,12.7,8.3,2418.66401381922,422.121943643686,571.843744210432
background,-85.7,5.5,4172.31719639503,4865.81125976853,-269.595599332877
background,-40.1,1.89999999999999,5199.09758925714,-2379.55359028243,-142.275176248401
background,25.3,1.69999999999999,5077.94451846259,1856.28005223616,-319.944487454972
background,-22.9,1.3,5327.4766324946,-4773.39637513973,-27.1752125981871
background,-40.5,0.899999999999991,5183.85682748925,-1982.74941656193,-159.86211761908
background,-21.1,0.0999999999999943,5326.00586258184,-4677.9042771379,-27.8821940686828
background,34.1,-3.30000000000001,5041.09320791833,3058.09707990615,-368.514292131944
background,35.5,-5.10000000000001,4990.72768211121,2219.96981560191,-359.261942397416
background,-23.3,-6.90000000000001,4950.51311226944,2261.60190358669,-345.058888867454
background,-25.9,-16.3,1494.10889548284,1313.37690977272,393.036157913254
background,24.7,-17.1,973.058208860539,3936.21791781892,520.021764540275
background,43.1,-20.5,982.005228196511,2375.71748463589,200.967522785948
background,26.3,-23.1,1449.8686875676,-1693.8286929718,100.421716274914
background,11.3,-25.5,1358.30508686529,1491.98020370414,58.9077960183488
background,3.70000000000002,-26.5,1702.95307340213,-730.379550389779,-566.415279747962
background,42.5,-28.1,1354.2512890891,2721.71779567063,-439.955223484988
background,25.1,-31.9,-2173.97872459647,2866.41125002619,-1384.01342008053
background,-31.5,-33.1,-8656.23495873179,-6393.23945823413,163.534790982547
background,87.7,-34.3,-65.562659771031,1607.06949493507,534.798067904781
background,-8.09999999999999,-35.9,-10451.7122525711,-5369.71304411009,2181.80592705073
background,26.7,-37.7,-4200.30224982849,675.464546646743,1108.81083780412
background,77.3,-38.3,-2274.05791103759,-1408.35930004615,591.339499676789
background,-5.09999999999999,-39.7,-3938.28997399495,-1467.65596398329,1014.38241352213
background,72.3,-39.9,-2794.20943971971,-3406.36768615605,712.825270613541
background,81.5,-40.3,-2350.80536069818,372.419242951294,527.230779728801
background,-5.5,-45.3,3258.23253435172,-5706.59080544212,290.008102379416
background,86.1,-46.5,-2278.22072278605,1752.20722226984,-169.85184498358
background,87.9,-46.7,-2097.83068026117,1696.54335506397,-230.089651472751
background,35.9,-47.3,1782.10026251695,838.632514367766,9.8345594892595
background,65.7,-47.9,-573.381273844768,2096.49356413814,246.916968285489
background,59.1,-48.9,2600.12357076763,-3610.46355735978,-159.600041117218
background,85.3,-49.3,-1640.79570316564,1728.35485260379,-869.78155567498
background,89.5,-50.1,-1087.92431565473,637.736021997403,-1028.55920431916
background,16.9,-50.7,3866.32654140685,1183.61582280612,-387.507127692798
background,52.5,-51.3,2874.83941416736,1874.10512204633,-473.489106214963
background,39.3,-52.7,3832.86143653006,694.230287059738,-438.991905054554
background,-20.7,-56.7,4171.56502650596,3500.06432364954,-391.44564533477
background,75.1,-60.3,-9903.59520198602,162.407497321718,-2736.73657666598
background,20.1,-63.3,-3108.40192210506,-3186.08104095172,-2813.25076205367
background,-15.9,-63.9,3645.15293945732,3704.75437009524,-628.500105885609
