Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.58732E-4,0.065873165,0.031805396,1,0,0
9.05455E-4,0.156418708,0.043203247,0.983333333,0,0
1.8496E-3,0.341378513,0.08444811,0.966666667,0,0
2.23689E-3,0.565067926,0.100356497,0.95,0,0
3.74083E-3,0.939150841,0.157221195,0.933333333,0,0
4.02602E-3,1.341752697,0.167203152,0.916666667,0,0
4.57963E-3,1.799715851,0.185920393,0.9,0,0
5.35613E-3,2.33532904,0.210798984,0.883333333,0,0
5.46727E-3,2.882056223,0.214235984,0.866666667,0,0
6.42534E-3,3.524590022,0.242667741,0.85,0,0
6.55E-3,4.1795904,0.246216773,0.833333333,0,0
7.58215E-3,4.937805664,0.274370341,0.816666667,0,0
8.84626E-3,5.82243212,0.306111295,0.8,0,0
8.93825E-3,6.71625682,0.308312874,0.783333333,0,0
9.26908E-3,7.643164841,0.316117105,0.766666667,0,0
9.57745E-3,8.600909366,0.323234397,0.75,0,0
1.07059E-2,9.671496811,0.348062755,0.733333333,0,0
1.09006E-2,10.761561655,0.352165086,0.716666667,0,0
1.11505E-2,11.876611499,0.357352444,0.7,0,0
1.11744E-2,12.994052811,0.357844604,0.683333333,0,0
1.24082E-2,14.234869963,0.382251448,0.666666667,0,0
1.31768E-2,15.55254543,0.396539758,0.65,0,0
1.33041E-2,16.882956209,0.398843719,0.633333333,0,0
1.34539E-2,17.797283867,0.401530794,0.616666667,0,0
1.35257E-2,18.235522279,0.402810214,0.616666667,0.333333333,0
1.36305E-2,19.59857586,0.404669612,0.6,0.333333333,0
1.38464E-2,20.983219051,0.408461153,0.583333333,0.333333333,0
1.42388E-2,22.407095863,0.415229101,0.566666667,0.333333333,0
1.43342E-2,23.840519958,0.41685268,0.55,0.333333333,0
1.45842E-2,25.298939098,0.421060864,0.533333333,0.333333333,0
1.47144E-2,26.770383475,0.423229822,0.516666667,0.333333333,0
1.56132E-2,28.331701163,0.437763717,0.5,0.333333333,0
1.56657E-2,29.898268055,0.438589987,0.483333333,0.333333333,0
1.59432E-2,31.492591183,0.442918998,0.466666667,0.333333333,0
1.59702E-2,33.089612682,0.443336292,0.45,0.333333333,0
1.81055E-2,34.900160005,0.47448622,0.433333333,0.333333333,0
1.81373E-2,36.713890674,0.474924265,0.416666667,0.333333333,0
1.82477E-2,37.718105872,0.47643705,0.4,0.333333333,0
1.83388E-2,38.547772563,0.477680329,0.4,0.444444444,0
1.84507E-2,40.39284502,0.479198395,0.383333333,0.444444444,0
1.86595E-2,42.25879449,0.482007022,0.366666667,0.444444444,0
1.91519E-2,44.173987569,0.488513375,0.35,0.444444444,0
1.91596E-2,46.089948663,0.488613556,0.333333333,0.444444444,0
1.96022E-2,48.050171142,0.494321482,0.316666667,0.444444444,0
2.04704E-2,50.097214145,0.505155639,0.3,0.444444444,0
2.19692E-2,52.294132377,0.522804804,0.283333333,0.444444444,0
2.37289E-2,54.609200822,0.541985323,0.266666667,0.444444444,0
2.39114E-2,57.062926102,0.54388624,0.25,0.555555556,0
2.4393E-2,59.502222121,0.548828,0.233333333,0.555555556,0
2.527E-2,62.029223588,0.557558797,0.216666667,0.555555556,0
2.60348E-2,64.632707927,0.564901184,0.2,0.555555556,0
2.62598E-2,67.258683557,0.567014213,0.183333333,0.555555556,0
2.7474E-2,70.006084409,0.578076524,0.166666667,0.555555556,0
2.78184E-2,72.787928383,0.581112256,0.15,0.555555556,0
2.83407E-2,75.621993755,0.585632496,0.133333333,0.555555556,0
2.85742E-2,78.479413427,0.587622606,0.116666667,0.555555556,0
2.86035E-2,81.339766388,0.587871212,0.1,0.555555556,0
2.9891E-2,84.32886815,0.598495413,0.083333333,0.555555556,0
3.03076E-2,87.359623943,0.601816349,0.066666667,0.555555556,0
3.37177E-2,89.644679262,0.627069684,0.05,0.555555556,0
3.53435E-2,90.734076863,0.638014689,0.05,0.666666667,0
3.5624E-2,90.922028099,0.639838352,0.05,0.777777778,0
4.33532E-2,95.25735244,0.683742234,0.033333333,0.777777778,0
4.74265E-2,100,0.702832472,0.016666667,0.777777778,0
4.78614E-2,100,0.704735537,0,0.777777778,0
4.82091E-2,100,0.706239409,0,0.888888889,0
