Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
2.57204E-7,0.00002572,0.000008028,1,0,0
3.37138E-6,0.000362858,0.000105214,0.983333333,0,0
6.21423E-5,0.006577092,0.001935788,0.966666667,0,0
1.28763E-4,0.019453402,0.004002776,0.95,0,0
1.29467E-4,0.032400069,0.00402456,0.933333333,0,0
2.11036E-4,0.053503622,0.006543591,0.916666667,0,0
5.88758E-4,0.149010271,0.01804432,0.883333333,0,0
6.59759E-4,0.21498613,0.020176446,0.866666667,0,0
7.12142E-4,0.356704239,0.021743567,0.833333333,0,0
9.00068E-4,0.446711083,0.027324685,0.816666667,0,0
1.8418E-3,0.630890699,0.054359963,0.8,0,0
2.64957E-3,0.895847617,0.07638011,0.783333333,0,0
4.422E-3,1.33804723,0.121277894,0.766666667,0,0
4.46077E-3,1.784124034,0.1222113,0.75,0,0
5.8095E-3,2.365074221,0.15349079,0.733333333,0,0
6.62257E-3,3.02733111,0.171292874,0.716666667,0,0
6.64069E-3,3.691400286,0.171681147,0.7,0,0
7.04358E-3,4.395757949,0.180219767,0.683333333,0,0
7.25247E-3,5.121005292,0.184578129,0.666666667,0,0
7.48077E-3,5.869082497,0.189288593,0.65,0,0
7.81994E-3,6.651076065,0.196186898,0.633333333,0,0
8.1105E-3,7.462125984,0.202004025,0.616666667,0,0
8.24849E-3,7.927674921,0.204737264,0.6,0,0
8.35824E-3,8.297950365,0.206897821,0.6,0.045454545,0
8.36883E-3,9.13483364,0.207105651,0.583333333,0.045454545,0
8.52028E-3,9.986861373,0.210066195,0.566666667,0.045454545,0
8.65057E-3,10.851918676,0.212595669,0.55,0.045454545,0
8.68971E-3,11.72088954,0.213352262,0.533333333,0.045454545,0
8.84268E-3,12.605157894,0.216295764,0.516666667,0.045454545,0
9.24562E-3,13.529720124,0.223944606,0.5,0.045454545,0
9.46806E-3,14.476526452,0.228103505,0.483333333,0.045454545,0
9.52416E-3,15.428942804,0.229145362,0.466666667,0.045454545,0
9.5763E-3,16.386572928,0.230111111,0.45,0.045454545,0
9.82038E-3,16.70537265,0.234600202,0.433333333,0.045454545,0
1.02805E-2,17.30630376,0.242921254,0.433333333,0.090909091,0
1.06215E-2,17.692128705,0.248973913,0.416666667,0.181818182,0
1.14377E-2,18.564407551,0.263072721,0.416666667,0.227272727,0
1.14847E-2,19.716142751,0.263867328,0.4,0.272727273,0
1.15027E-2,19.820839339,0.264172533,0.383333333,0.272727273,0
1.16862E-2,20.884758347,0.267259708,0.383333333,0.318181818,0
1.24983E-2,22.134589406,0.280621297,0.366666667,0.318181818,0
1.29095E-2,23.425539158,0.287202042,0.35,0.318181818,0
1.33481E-2,24.76034735,0.294089846,0.333333333,0.318181818,0
1.37452E-2,25.429109569,0.300212176,0.316666667,0.318181818,0
1.41907E-2,26.179415392,0.306955823,0.316666667,0.363636364,0
1.78341E-2,27.962821933,0.357584192,0.3,0.363636364,0
1.82331E-2,29.786132876,0.362683415,0.283333333,0.363636364,0
2.0896E-2,31.687359305,0.394743087,0.266666667,0.363636364,0
2.12028E-2,31.906413294,0.398230882,0.266666667,0.454545455,0
2.14973E-2,36.176421736,0.401540868,0.233333333,0.454545455,0
2.28845E-2,38.464873379,0.41665632,0.216666667,0.454545455,0
2.35648E-2,40.821355351,0.423793343,0.2,0.454545455,0
2.44957E-2,43.270922216,0.433280528,0.183333333,0.454545455,0
2.52533E-2,45.796255416,0.440775028,0.166666667,0.454545455,0
3.12414E-2,48.920398341,0.493692766,0.15,0.454545455,0
3.20464E-2,52.125041824,0.500052648,0.133333333,0.454545455,0
3.29366E-2,52.9187604,0.506902103,0.116666667,0.454545455,0
3.60946E-2,55.734506351,0.529757087,0.116666667,0.5,0
4.23987E-2,59.974378217,0.569581231,0.1,0.5,0
4.35136E-2,64.325733765,0.575932338,0.083333333,0.5,0
5.44961E-2,68.360114602,0.629752356,0.066666667,0.5,0
5.97898E-2,70.304717078,0.651096,0.066666667,0.545454545,0
6.16708E-2,74.932622371,0.658099366,0.05,0.545454545,0
6.23229E-2,76.537010572,0.660462096,0.05,0.590909091,0
9.89723E-2,86.434242875,0.755444658,0.033333333,0.590909091,0
1.35658E-1,100,0.808943287,0.016666667,0.590909091,0
1.70279E-1,100,0.841637254,0,0.590909091,0
1.81637E-1,100,0.850055424,0,0.681818182,0
2.83572E-1,100,0.898483832,0,0.727272727,0
3.63173E-1,100,0.918930447,0,0.818181818,0
1E0,100,0.968954986,0,0.863636364,0
