X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
7.9496,42.4842,train,Infinity,100.0,NaN
7.764,42.0,train,Infinity,100.0,NaN
15.8295,43.1459,train,Infinity,100.0,NaN
-34.7738,-26.4047,train,Infinity,100.0,NaN
19.0675,40.1875,train,Infinity,100.0,NaN
18.9409,40.1739,train,Infinity,100.0,NaN
97.4127,45.5087,train,Infinity,100.0,NaN
97.3889,45.5044,train,Infinity,100.0,NaN
97.3811,45.5026,train,Infinity,100.0,NaN
67.1002,44.4339,train,0.0,0.0,0.0
18.9391,40.176,train,Infinity,100.0,NaN
97.3914,45.5063,train,Infinity,100.0,NaN
8.2003,43.6498,train,Infinity,100.0,NaN
97.4082,45.5131,train,Infinity,100.0,NaN
19.0968,40.197,train,Infinity,100.0,NaN
104.3501,13.4703,train,0.0,0.0,0.0
97.3941,45.5078,train,Infinity,100.0,NaN
104.1677,-78.3637,train,0.0,0.0,0.0
9.9217,41.812,train,Infinity,100.0,NaN
19.0967,40.199,train,Infinity,100.0,NaN
7.7599,42.0113,train,Infinity,100.0,NaN
