background,x,y,PC1,PC2,PC3
background,86.5,84.3,5286.41978588621,-1479.59886347461,-307.299595040571
background,-162.5,83.1,5370.16006536907,-745.179735029265,-229.701051815129
background,109.5,82.7,3935.25243050882,542.795656673774,-482.961592788261
background,128.5,78.7,4598.67503217423,-581.36067548598,-461.365620397003
background,174.1,78.7,5267.81855751079,-1150.59252852561,-270.135250529626
background,114.9,76.7,4355.12856240273,627.880588154157,-472.022902428601
background,93.3,69.7,4906.68618557826,1042.74023866031,-291.612571349132
background,108.3,66.9,1625.73278605134,4801.66561201841,-1329.74245831536
background,-5.5,61.1,4598.6022666536,-154.468137242009,-378.850987855725
background,21.7,61.1,-4076.83123388061,-1884.42830871364,-2904.43507208375
background,-12.5,58.9,5015.92385931283,835.84411809884,-270.359313413166
background,30.1,57.7,119.132772630442,-2773.09340690754,-707.836990034424
background,14.1,53.5,3254.20368991211,-1406.40839171955,-499.071666428374
background,55.9,50.5,950.647538472998,-2768.44760837953,-837.452149188973
background,23.3,43.9,2960.38611135729,-2071.93406236515,346.447984636556
background,64.9,43.1,-296.649370367577,-2166.39718839125,50.4548452238285
background,-36.9,36.1,-4511.50104717141,-3155.30014967252,1407.73352773175
background,18.3,31.5,1754.65991447231,-3906.65772805603,-13.7309538727276
background,-14.9,31.3,-10356.5113494402,-189.956215393809,1739.34789823234
background,-36.3,26.5,-779.19155541291,-2307.6389635487,1052.25948768421
background,103.7,23.3,341.93161886423,-2110.86549353247,893.258026118422
background,-22.9,21.5,-2179.27403221077,6150.33623566977,1090.77365501534
background,-29.3,20.5,-328.209353921892,51.933984678927,1062.72223551934
background,-15.1,15.7,-169.618367073844,-1310.47429359501,1129.63842263856
background,-84.7,12.7,3108.59360280243,-3642.04889597594,652.313614508116
background,-15.9,11.7,554.791578175075,-1290.70813338404,1421.58692814254
background,10.5,10.3,2212.4670662929,-1642.94028252997,820.4626938912
background,13.9,10.3,2117.39886801979,-1258.66861561687,815.230267054312
background,33.1,0.5,5688.29979637231,-2356.27425814133,-236.90768515212
background,-38.1,-0.700000000000003,5289.20292606437,-408.320994200476,-270.152759830709
background,28.9,-5.10000000000001,5574.90138040229,-2140.68081853456,-254.531668948364
background,17.3,-6.30000000000001,5397.40380998194,-1239.478174564,-263.687627968174
background,-47.7,-7.90000000000001,3916.27700784953,-2382.29966049344,307.663486727349
background,42.9,-7.90000000000001,4364.22246407746,-3413.03737825328,-222.770410415471
background,-41.9,-10.3,3762.79486289333,-1756.10071123371,293.799680760164
background,-22.7,-12.9,1877.54527122654,57.3602613271855,793.628154711051
background,2.5,-12.9,1843.57846031959,390.279881416205,715.017708473361
background,16.1,-12.9,2193.33338528819,-1261.89370247537,637.990763737771
background,-31.9,-13.9,2302.63864479746,-1462.80636165898,750.195895266279
background,2.70000000000002,-16.3,1015.87633335562,642.433528341219,796.658523681239
background,21.3,-19.3,1341.66930110313,-2829.73923021872,798.372524937465
background,-18.3,-20.5,672.160542111432,-1330.23143385751,996.85461162702
background,-5.89999999999998,-21.1,-914.532733681428,8421.32380765931,711.587874402555
background,37.9,-25.7,1591.33324535078,16.1398497531922,-155.498208037958
background,-7.29999999999998,-26.7,-27.4802858357786,6939.71460179461,-650.580056985708
background,-22.3,-27.3,1953.30123346202,-3053.77376565343,-326.801340314064
background,-22.5,-29.5,1946.60592266528,-3018.59129007655,-327.177903157999
background,11.1,-31.7,-6914.84171622858,471.960891983539,-1213.77894098823
background,28.1,-34.5,-14641.5532916194,-1476.70188725165,4989.50125186431
background,61.1,-34.9,-4232.79426497976,-370.251569422238,979.888110593472
background,99.9,-36.3,976.028926034237,-482.241025746771,628.389456094725
background,0.100000000000023,-38.1,-5032.43325266335,-1149.22086077287,1718.51025840064
background,46.1,-39.1,-5002.15685442079,-1654.41888905342,1733.57720465296
background,-21.5,-39.9,-3684.4857150109,582.700342995548,798.39874055571
background,61.7,-42.3,-3914.57788729387,-1532.62360899772,1470.79263580636
background,103.3,-42.5,913.701567121135,-3100.05810321873,391.151979621053
background,55.7,-43.9,-1330.8477555323,-2114.57294067224,931.701201392103
background,-13.9,-63.3,1860.84475728778,-1554.4661918897,-587.916464999589
background,0.700000000000017,-64.9,-8699.94602670506,-1039.93918462708,-943.384083109009
background,7.30000000000001,-66.9,-8767.88696179974,203.996530026117,-1123.05207723984
