x,y,insect.M.distribution230t5.2_PA2_RUN2 logistic values
93.9,85.9,0.0
39.9,83.5,0.0
-11.7,83.1,0.0
-55.5,78.5,0.0
-37.9,78.3,0.0
65.5,77.3,0.0
36.3,76.3,0.0
18.1,72.7,0.0
37.9,70.9,0.0
42.3,66.1,0.0
20.5,56.5,0.0
87.1,45.3,0.0
87.5,44.9,0.0
6.70000000000002,43.7,0.0
54.1,43.7,0.0
59.3,42.1,0.0
75.9,40.9,0.0
19.3,38.7,0.0
-32.1,35.5,2.2294991E-22
-6.89999999999998,33.3,0.0
105.3,31.7,0.0
-39.3,24.3,0.0
13.1,23.7,0.0
89.9,21.1,0.0
-30.5,17.9,0.0
-8.89999999999998,13.1,0.0
-29.1,12.1,0.0
7.10000000000002,10.3,0.0
-29.9,9.09999999999999,0.0
-49.7,7.89999999999999,0.0
12.7,2.09999999999999,0.0
100.1,-0.300000000000011,0.0
-23.9,-1.30000000000001,0.0
92.9,-2.5,0.0
-18.5,-2.90000000000001,0.0
20.1,-5.30000000000001,0.0
14.5,-8.30000000000001,0.0
18.1,-8.5,0.0
13.7,-10.5,0.0
4.70000000000002,-12.5,0.0
-26.5,-28.7,0.0
-11.1,-34.5,0.0
-28.1,-35.1,0.0
19.3,-41.1,0.0
84.1,-43.5,0.0
94.1,-45.1,0.0
38.9,-48.7,0.0
16.1,-55.9,0.0
-0.899999999999977,-56.1,0.5113701
56.7,-58.9,0.0
75.1,-60.3,0.0
51.5,-60.7,0.0
9.10000000000002,-61.1,0.0
35.3,-62.1,0.010548094
49.1,-64.3,0.0
57.3,-65.3,0.0
76.3,-66.9,0.0
46.3,-70.7,0.0
122.1,-78.1,0.0
66.9,-78.9,0.0
