background,x,y,PC1,PC2,PC3
background,94.3,80.7,5090.36407536838,1474.01001146856,-364.133742778168
background,105.9,78.5,4768.79533554736,2058.34806683958,-392.032940589967
background,94.1,77.7,5129.35726246153,1770.14294339656,-309.435064678752
background,100.1,76.7,4658.00891909237,411.888508008313,-284.793216168097
background,133.7,74.3,5175.97276265859,1412.38671639625,-257.551786739881
background,138.5,68.7,5533.40000127138,-4939.31932215258,-280.844295142972
background,-1.09999999999999,62.1,5332.44113770163,1842.99607891935,-259.299245747269
background,49.5,59.3,-10711.7404977544,1784.25880226786,-1116.35624152194
background,33.9,58.9,-5547.74775402603,2878.84765396945,-996.241746085512
background,5.10000000000002,55.9,3948.55153373622,-4500.18774105225,-604.514289242253
background,62.3,54.9,-6435.57052883406,4148.87196842305,-749.908344301861
background,62.7,54.7,-6435.57052883406,4148.87196842305,-749.908344301861
background,33.1,54.5,-73.4316587402003,3404.26054265245,-703.045988605757
background,13.7,51.3,3851.52802922177,-2874.19158538827,-432.361761005515
background,88.1,50.5,-9057.63903838789,-4011.3706246551,-629.594674796795
background,34.5,40.9,2637.71761180729,3103.69199014572,409.235985158302
background,60.3,38.3,411.563890033795,3202.29349834303,908.86284351945
background,121.7,38.3,2425.04752880152,1337.66128579377,-279.719325771822
background,-18.1,37.9,-2640.71838068004,1227.18822828941,874.805581899639
background,21.1,33.3,-2727.85898569152,4660.17875182814,-578.028569739663
background,46.5,33.1,-1698.62067527967,4683.55902080644,328.24330485001
background,90.7,28.9,-745.323318369094,615.725672670144,1115.37100892958
background,-2.89999999999998,16.9,-1146.91094757708,2234.29156223765,1929.36792422645
background,-15.7,16.5,-564.845213273046,2899.51078488967,1513.74734895032
background,32.3,7.5,4838.12229158946,4629.85579980912,-4.05278305391927
background,-20.7,5.89999999999999,5847.55642439362,-2350.12795914515,-160.489285760058
background,-2.69999999999999,5.89999999999999,4773.70978262464,1877.77449300659,-10.3418041962186
background,17.7,5.5,4884.70237054795,-155.611104609931,-29.027970636463
background,-31.1,3.69999999999999,5840.35246542999,-773.557422567416,-164.382145343081
background,-32.9,-0.300000000000011,5700.99277705882,3597.22426494869,-111.899936828318
background,-36.5,-1.10000000000001,5711.39711312558,3374.89930875047,-112.655473156083
background,12.3,-1.5,5761.26509028538,1606.76808534108,-146.993040550094
background,-13.9,-2.30000000000001,5908.71062376052,-3716.27741441059,-200.857582231046
background,26.1,-7.30000000000001,5678.81116074344,2372.98638756006,-157.03705624153
background,-2.09999999999999,-9.10000000000001,4178.55635598536,-6839.74102569004,-122.23701513161
background,-19.7,-13.9,2445.80462275902,-1712.95557243002,736.938480959342
background,-3.29999999999998,-26.1,1771.37889692326,-4611.81452372665,414.946318089784
background,23.9,-28.3,2021.10341390574,-1201.48573947319,-255.495326384128
background,32.5,-28.5,1878.52663030208,704.317950285089,-205.221809547367
background,-17.3,-29.5,2042.61977493719,-75.368899528244,-402.27745069667
background,-25.5,-31.3,-7632.12696571339,2268.87781689223,-581.605934565286
background,-23.7,-36.1,-15195.3184487507,-56.9041245958803,4083.52891464288
background,16.7,-37.7,-3677.3696834728,-4158.32535336542,994.244649880558
background,79.9,-39.3,-683.355220249415,-124.540450369566,676.998302096321
background,28.1,-39.5,-6136.80981511913,-7183.45374173375,2046.06805352933
background,6.90000000000001,-40.5,-3776.53107212892,435.288463425072,600.443012185412
background,-4.5,-41.5,2288.87575783634,-2772.29850696782,163.113148454309
background,82.3,-42.3,-1551.12549582015,2379.67991999987,661.857029730587
background,-26.1,-42.9,1887.16079947054,-278.97953036925,247.525630469118
background,4.30000000000001,-44.5,1301.85491592077,-7497.77611648178,367.071667363153
background,-27.1,-49.5,4776.82211850611,-508.385902294386,-195.347762532359
background,6.70000000000002,-53.3,4668.66511719455,-568.905491607453,-207.762766141282
background,48.5,-53.5,4267.15123811965,-4797.61064271978,-283.366962492604
background,78.9,-57.5,1057.25444405811,3318.74628942692,-1168.18370218915
background,52.9,-61.3,-1483.72165628898,681.608564152611,-1381.47121589905
background,27.3,-64.5,-5191.42259371698,2533.36668237465,-2730.28786991692
background,78.5,-64.7,-7067.41179544823,-110.106950963246,-2493.08115072121
background,2.5,-65.1,-1835.63333508829,-2572.76613411495,-1674.33332875178
background,6.30000000000001,-66.7,-2574.65815221418,-5689.61960262352,-1756.88017746385
background,27.3,-67.5,-6918.00295139154,1082.35621875991,-5345.17856433215
