background,x,y,PC1,PC2,PC3
background,21.5,77.5,7386.14591580317,3612.39003557905,-1607.84423577679
background,39.5,77.5,7280.2906519132,3595.234015884,-1710.35407965556
background,-3.09999999999999,76.1,7673.67265610636,3603.38899332839,-1569.52022265287
background,30.1,72.3,7988.491763044,1875.7841578413,-1498.42248401947
background,9.5,70.5,5932.0170943939,3646.91254669448,-2030.3269955756
background,60.3,65.5,-1700.55360585197,-8165.81465462294,255.311872449145
background,31.3,63.5,6681.81195086438,366.423969132957,-1394.91760349772
background,76.9,50.7,1668.45511346089,3825.36896857393,7.62632897477717
background,62.9,49.7,6060.9261195856,-12862.4352273583,-491.414132509471
background,58.3,41.9,4784.5699155821,-2787.64635978939,529.336620706873
background,-29.5,38.3,654.005914705638,3444.79501998532,631.425472800243
background,74.3,37.1,-2367.14037206897,-3795.46223830434,2134.24959000738
background,71.3,36.7,-2262.15206225591,-1005.10139543667,2002.08934553045
background,-21.7,33.5,-7786.88559395269,1635.75712421901,4489.44013764443
background,92.7,33.5,3527.31591002679,-1960.34694209327,943.033748548535
background,-2.69999999999999,28.9,4294.10918380406,657.405778574348,-480.440619386018
background,29.3,26.7,5006.78143552873,1912.06184132572,-895.606536512431
background,40.5,24.7,5336.99323379553,2408.90424597445,3.95427496349158
background,41.3,20.1,4269.44632559308,2020.62017577606,495.248561947789
background,-37.7,14.1,5837.6827135189,3767.46535337491,421.807944992409
background,-17.3,9.09999999999999,6627.22403341871,573.032316884583,-193.780975973113
background,-20.1,2.3,9119.18671118102,512.658957934316,-1241.75678217888
background,-42.3,0.899999999999991,9193.92188700618,2209.06936251674,-1310.53057853938
background,98.1,0.699999999999989,9138.28041343062,573.99768994432,-1268.97345015087
background,-4.89999999999998,-6.5,8049.72050595882,-303.015377666524,-1223.59698969411
background,-35.3,-15.1,5153.79111363937,1467.39344012914,535.773349981285
background,14.7,-15.3,5152.90678062964,1060.54677200035,758.170256654586
background,-2.29999999999998,-16.3,5071.62880927758,332.905347597783,819.10162546586
background,24.3,-16.5,5329.31095415078,1111.40086682258,513.036865793053
background,-27.7,-16.7,5096.57819806092,-118.343968954099,617.314843617929
background,-8.69999999999999,-16.7,5019.02195700571,-252.511859655951,844.278687273373
background,108.5,-17.7,6260.15964436392,2175.17806824086,-695.684598077077
background,103.5,-19.5,5911.23027679331,1116.70443290947,-380.559053087312
background,-8.09999999999999,-21.3,4968.01951172976,697.737045257088,552.589124870662
background,32.5,-24.9,5741.70605311217,1248.78025294499,-525.032485756617
background,-24.3,-25.7,6174.86558239947,706.748025194139,-517.142424016129
background,21.3,-25.9,5893.04660241201,44.3657572156246,-539.846055530872
background,13.1,-31.5,-8287.26611515678,139.948918807653,6608.14134102134
background,-2.69999999999999,-32.9,-8428.78821905701,1067.73669099617,6646.32460563118
background,18.5,-34.1,-1331.52967151304,175.585917117069,2187.73127083923
background,-15.1,-36.1,-1133.16861871131,-2944.94779241014,830.644811142995
background,16.9,-38.3,4876.71357041555,-688.113544615667,605.380820375507
background,-37.1,-38.7,7068.93088056346,-2297.13103167439,-180.201526556027
background,61.1,-44.7,4011.79764386474,3838.82681587815,504.185256670563
background,58.3,-44.9,4638.08716527983,3617.64925980075,255.586618548101
background,16.7,-46.5,7620.9360883398,2664.91785902708,-624.8467034397
background,113.3,-46.5,4008.7601396284,903.105455818888,350.853528635836
background,29.7,-53.3,7632.88338025509,-868.10947762162,-647.676662567368
background,-7.89999999999998,-53.7,7416.792513822,460.641583349492,-852.367953621123
background,8.30000000000001,-54.1,7626.2684444861,-1937.73588641795,-690.841130940768
background,26.3,-57.3,6395.75007600357,-866.532715400449,-911.479873064506
background,117.5,-59.1,7523.05954750749,1774.99619468731,-1381.09291138234
background,-17.3,-64.1,8839.4937844352,-1261.20070354959,-1192.37008242119
background,117.7,-65.5,8370.65099436303,-1746.91083704469,-1170.32142710266
background,75.5,-69.9,-17494.3418332918,-907.921695281259,879.912201572635
background,16.3,-77.3,-78631.4570775693,5806.4732226603,871.276978991895
background,51.5,-79.9,-34963.5350213563,-4327.4338598444,-5436.18071873594
background,19.3,-81.5,-27338.7970248497,-4603.13946489089,-10793.2942050498
background,100.7,-84.3,9171.79617677232,938.89533277448,-1246.92548541242
background,56.9,-86.1,7652.2648300192,-6899.62006082379,-1099.90438516223
