Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.26843E-7,0.000012684,0.000002991,1,0,0
1.6351E-7,0.000029035,0.000003855,0.983333333,0,0
3.10091E-6,0.000339127,0.000073108,0.966666667,0,0
3.44666E-5,0.003785787,0.000811997,0.95,0,0
6.13055E-5,0.009916336,0.00144338,0.933333333,0,0
7.04514E-5,0.016961475,0.001658355,0.916666667,0,0
8.2385E-5,0.025199977,0.001938716,0.9,0,0
2.3708E-4,0.061511613,0.005558822,0.866666667,0,0
3.66045E-4,0.132788432,0.008556792,0.833333333,0,0
5.57027E-4,0.236000149,0.012963376,0.8,0,0
7.49918E-4,0.310991923,0.017374423,0.783333333,0,0
1.00759E-3,0.411751313,0.023205839,0.766666667,0,0
1.02714E-3,0.514465505,0.023645403,0.75,0,0
1.07223E-3,0.621688309,0.024657719,0.733333333,0,0
1.08745E-3,0.730433109,0.024998978,0.716666667,0,0
1.09098E-3,0.839531335,0.025078189,0.7,0,0
1.32367E-3,0.971898741,0.030265145,0.683333333,0,0
1.448E-3,1.11669876,0.033013952,0.666666667,0,0
1.52124E-3,1.268822452,0.034625909,0.65,0,0
1.68414E-3,1.43723672,0.038192301,0.633333333,0,0
1.73583E-3,1.610819409,0.03931829,0.616666667,0,0
1.82134E-3,1.792953411,0.041175496,0.6,0,0
2.09535E-3,2.002488316,0.047078456,0.583333333,0,0
2.97518E-3,2.300006517,0.06555079,0.566666667,0,0
3.14349E-3,2.614355122,0.06900308,0.55,0,0
3.25283E-3,2.939638261,0.071232357,0.533333333,0,0
3.65569E-3,3.305206801,0.079354227,0.516666667,0,0
3.8558E-3,3.690786858,0.083336137,0.5,0,0
3.87031E-3,4.077817725,0.083623482,0.483333333,0,0
4.66446E-3,4.544263417,0.099082057,0.466666667,0,0
4.75728E-3,5.01999191,0.100855032,0.45,0,0
6.31991E-3,5.651982428,0.129686553,0.433333333,0,0
7.04149E-3,6.356131233,0.142385356,0.416666667,0,0
7.2038E-3,7.076511697,0.145191002,0.4,0,0
7.21362E-3,7.797874021,0.145360128,0.383333333,0,0
7.2698E-3,8.52485412,0.146326508,0.366666667,0,0
7.29503E-3,9.254357567,0.146759868,0.35,0,0
7.60525E-3,10.014882348,0.152051746,0.333333333,0,0
1.03542E-2,11.05030056,0.196226687,0.316666667,0,0
1.13663E-2,12.186927,0.211353262,0.3,0,0
1.56659E-2,13.753514441,0.269737955,0.283333333,0,0
1.731E-2,15.48451248,0.289841494,0.266666667,0,0
2.8409E-2,18.325414196,0.401136811,0.25,0,0
3.02606E-2,21.351469298,0.416394452,0.233333333,0,0
3.1574E-2,24.508867686,0.426754848,0.216666667,0,0
3.65975E-2,28.168617989,0.463202348,0.2,0,0
3.95623E-2,32.124849101,0.482616933,0.183333333,0,0
4.24122E-2,34.811172289,0.500000001,0.166666667,0,0
4.42576E-2,36.550612489,0.510646052,0.166666667,0.5,0
5.08649E-2,41.637100652,0.54530924,0.15,0.5,0
5.50083E-2,45.628964175,0.564647703,0.133333333,0.5,0
5.67559E-2,47.312692549,0.572319926,0.133333333,1,0
5.69202E-2,53.004710442,0.573027154,0.116666667,1,0
7.24273E-2,60.247436783,0.630682432,0.1,1,0
7.89225E-2,68.139691669,0.650452712,0.083333333,1,0
7.90994E-2,76.04963587,0.650961573,0.066666667,1,0
7.93546E-2,83.985092859,0.651692884,0.05,1,0
7.96603E-2,91.951122781,0.652565215,0.033333333,1,0
8.04888E-2,100,0.654907265,0.016666667,1,0
