age	Surface_temperature
507	0.945774648
508	0.945070423
509	0.944366197
510	0.943661972
511	0.944366197
512	0.945070423
513	0.945774648
514	0.946478873
515	0.947183099
516	0.947887324
517	0.948591549
518	0.949295775
519	0.95
520	0.950704225
521	0.952816901
522	0.954929577
523	0.957042254
524	0.95915493
525	0.961267606
526	0.963380282
527	0.965492958
528	0.967605634
529	0.96971831
530	0.971830986
531	0.972535211
532	0.973239437
533	0.973943662
534	0.974647887
535	0.975352113
536	0.976056338
537	0.976760563
538	0.977464789
539	0.978169014
540	0.978873239
