Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
6.19422E-4,0.061942158,0.03397219,1,0,0
3.17733E-3,0.379675014,0.152821553,0.983333333,0,0
5.27345E-3,0.907019876,0.230410161,0.966666667,0,0
8.08718E-3,1.715737942,0.314664604,0.95,0,0
8.4374E-3,2.559478281,0.323878008,0.933333333,0,0
8.53514E-3,3.412991818,0.326405025,0.916666667,0,0
8.81305E-3,4.294296557,0.333488743,0.9,0,0
9.55656E-3,5.249952127,0.351727633,0.883333333,0,0
1.08574E-2,6.335693357,0.381347382,0.866666667,0,0
1.24212E-2,7.577817043,0.413558596,0.85,0,0
1.28302E-2,8.860837744,0.421436575,0.833333333,0,0
1.41823E-2,10.279067677,0.446039335,0.816666667,0,0
1.41985E-2,11.698917649,0.446321439,0.8,0,0
1.4643E-2,13.163219642,0.4539515,0.783333333,0,0
1.48756E-2,14.650777648,0.457860138,0.766666667,0,0
1.49605E-2,16.146831684,0.459274147,0.75,0,0
1.53151E-2,17.678340298,0.465096154,0.733333333,0,0
1.54774E-2,19.226076348,0.467719249,0.716666667,0,0
1.61288E-2,20.838955673,0.477995441,0.7,0,0
1.6242E-2,22.46315883,0.479741402,0.683333333,0,0
1.6336E-2,24.096761455,0.48118181,0.666666667,0,0
1.63722E-2,25.733983301,0.481734307,0.65,0,0
1.64055E-2,27.374536368,0.482241801,0.633333333,0,0
1.64873E-2,29.023261544,0.483482578,0.616666667,0,0
1.6887E-2,30.711956743,0.489466572,0.6,0,0
1.70696E-2,32.41891343,0.492154634,0.583333333,0,0
1.72017E-2,34.139084549,0.494082193,0.566666667,0,0
1.7239E-2,34.429923081,0.494624096,0.55,0,0
1.74254E-2,35.881622791,0.497311701,0.55,0.333333333,0
1.74663E-2,37.628256678,0.497898596,0.533333333,0.333333333,0
1.75606E-2,39.384312977,0.499243612,0.516666667,0.333333333,0
1.76908E-2,41.153389715,0.50109042,0.5,0.333333333,0
1.77741E-2,42.930797048,0.502264895,0.483333333,0.333333333,0
1.78152E-2,44.71232165,0.502843321,0.466666667,0.333333333,0
1.79431E-2,46.506631141,0.504630906,0.45,0.333333333,0
1.80092E-2,48.307548589,0.505549802,0.433333333,0.333333333,0
1.816E-2,50.12354705,0.507634238,0.416666667,0.333333333,0
1.81709E-2,51.940639135,0.507784711,0.4,0.333333333,0
1.85934E-2,53.799981621,0.513528401,0.383333333,0.333333333,0
1.86697E-2,55.66694776,0.514550545,0.366666667,0.333333333,0
1.8709E-2,57.537851565,0.515076809,0.35,0.333333333,0
1.89967E-2,58.486148334,0.518887012,0.333333333,0.333333333,0
1.92548E-2,59.336990992,0.522255045,0.333333333,0.666666667,0
1.96375E-2,61.431037425,0.52716366,0.316666667,1,0
1.99051E-2,63.421550159,0.530535989,0.3,1,0
1.99148E-2,65.413031018,0.530657096,0.283333333,1,0
1.99283E-2,67.405859874,0.53082562,0.266666667,1,0
1.99974E-2,69.405598572,0.531687577,0.25,1,0
2.03011E-2,71.435712715,0.535439451,0.233333333,1,0
2.04042E-2,73.476130164,0.536698464,0.216666667,1,0
2.05919E-2,75.535317779,0.538974632,0.2,1,0
2.08144E-2,77.616761479,0.541644707,0.183333333,1,0
2.14405E-2,79.760811128,0.548992371,0.166666667,1,0
2.17401E-2,81.934823114,0.552426147,0.15,1,0
2.19308E-2,84.127899159,0.554583859,0.133333333,1,0
2.23612E-2,86.364016864,0.559379725,0.116666667,1,0
2.23663E-2,88.600647543,0.55943626,0.1,1,0
2.2505E-2,90.851142863,0.560958805,0.083333333,1,0
2.2576E-2,93.1087406,0.561734688,0.066666667,1,0
2.26438E-2,95.373116102,0.562472553,0.05,1,0
2.28234E-2,97.65545689,0.564416384,0.033333333,1,0
2.34454E-2,100,0.571015224,0.016666667,1,0
