Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.25914E-3,0.12591442,0.042283463,1,0,0
1.74072E-3,0.299986182,0.057524954,0.983333333,0,0
1.8857E-3,0.488556555,0.062019112,0.966666667,0,0
1.96353E-3,0.684909236,0.064413775,0.95,0,0
2.02577E-3,0.8874864,0.066320303,0.933333333,0,0
2.51699E-3,1.139184952,0.081097634,0.916666667,0,0
2.60138E-3,1.3993232,0.083589612,0.9,0,0
2.61846E-3,1.661169321,0.08409225,0.883333333,0,0
3.32733E-3,1.993902755,0.104479281,0.866666667,0,0
3.77192E-3,2.371094931,0.116808787,0.85,0,0
3.95544E-3,2.766638487,0.121799644,0.833333333,0,0
4.23837E-3,3.190475215,0.129384714,0.816666667,0,0
4.40438E-3,3.630913296,0.133774656,0.8,0,0
4.5151E-3,4.082423522,0.136677967,0.783333333,0,0
4.87795E-3,4.570218326,0.146057509,0.766666667,0,0
5.16521E-3,5.08673972,0.153339998,0.75,0,0
5.17672E-3,5.604412136,0.153629207,0.733333333,0,0
5.32051E-3,6.103660369,0.157225465,0.716666667,0,0
5.81655E-3,6.719090973,0.169400655,0.7,0.058823529,0
6.28584E-3,7.347674852,0.180599846,0.683333333,0.058823529,0
7.14327E-3,8.062001704,0.20030045,0.666666667,0.117647059,0
7.46183E-3,8.808184903,0.207380651,0.65,0.117647059,0
8.43699E-3,9.651883883,0.228295217,0.633333333,0.117647059,0
8.62871E-3,10.514754532,0.232277877,0.616666667,0.117647059,0
8.68688E-3,11.383442357,0.233478202,0.6,0.117647059,0
8.75453E-3,12.258895516,0.234869459,0.583333333,0.117647059,0
9.09533E-3,13.168428795,0.241801762,0.566666667,0.117647059,0
9.40321E-3,14.10874946,0.247957162,0.55,0.117647059,0
9.46399E-3,15.055147979,0.249160529,0.533333333,0.117647059,0
9.73963E-3,16.029110745,0.254570041,0.516666667,0.117647059,0
1.03183E-2,17.060940965,0.265676781,0.5,0.176470588,0
1.16685E-2,18.227786812,0.290347133,0.483333333,0.176470588,0
1.17276E-2,19.400549776,0.291390462,0.466666667,0.176470588,0
1.19443E-2,20.594982011,0.295185223,0.45,0.176470588,0
1.23705E-2,21.832029641,0.302530779,0.433333333,0.176470588,0
1.28954E-2,23.121570951,0.311371248,0.416666667,0.176470588,0
1.30561E-2,24.427178586,0.314032361,0.4,0.176470588,0
1.40936E-2,25.836542532,0.330734598,0.383333333,0.176470588,0
1.41907E-2,27.255612059,0.332255454,0.366666667,0.176470588,0
1.45533E-2,28.710946185,0.33787744,0.35,0.176470588,0
1.51598E-2,30.226922396,0.347070016,0.333333333,0.176470588,0
1.53218E-2,31.759101602,0.349483134,0.316666667,0.176470588,0
1.5791E-2,33.338198785,0.356371107,0.3,0.176470588,0
1.63131E-2,33.686650976,0.363866261,0.283333333,0.176470588,0
1.64334E-2,33.766997911,0.365569812,0.283333333,0.235294118,0
1.85739E-2,35.195586079,0.394405239,0.283333333,0.294117647,0
1.8619E-2,37.05748577,0.394984953,0.266666667,0.294117647,0
1.88706E-2,38.323804107,0.39819698,0.25,0.294117647,0
1.89964E-2,38.957127858,0.399790651,0.25,0.352941176,0
1.92274E-2,40.879869076,0.402694361,0.233333333,0.352941176,0
1.96637E-2,42.846242844,0.408103289,0.216666667,0.352941176,0
1.99693E-2,43.081420758,0.411833052,0.2,0.352941176,0
2.26E-2,45.106237916,0.442100815,0.2,0.411764706,0
2.29359E-2,47.399827282,0.445743238,0.183333333,0.411764706,0
2.42073E-2,49.820555164,0.459107866,0.166666667,0.411764706,0
2.9371E-2,52.757651208,0.507354067,0.15,0.411764706,0
2.93885E-2,55.69650165,0.507503321,0.133333333,0.411764706,0
3.2477E-2,58.944202997,0.532440491,0.116666667,0.411764706,0
3.5569E-2,62.501099376,0.554997917,0.1,0.411764706,0
4.16699E-2,66.66808725,0.593677842,0.083333333,0.411764706,0
4.69326E-2,71.3613503,0.622018627,0.066666667,0.411764706,0
5.12082E-2,76.482166174,0.642288507,0.05,0.411764706,0
7.69053E-2,84.172700381,0.72948027,0.033333333,0.411764706,0
8.91567E-2,86.555787834,0.757644325,0.016666667,0.411764706,0
9.93908E-2,88.546477704,0.777035149,0.016666667,0.470588235,0
1.42591E-1,96.94969739,0.833327476,0.016666667,0.588235294,0
1.47086E-1,97.823910213,0.837593159,0.016666667,0.764705882,0
1.57311E-1,99.81291049,0.846529644,0.016666667,0.882352941,0
1.58273E-1,100,0.847319885,0.016666667,0.941176471,0
1.66071E-1,100,0.853438411,0,0.941176471,0
