background,x,y,PC1,PC2,PC3
background,87.9,85.3,5341.76485239712,-1770.85658834473,-304.072327811619
background,-162.5,83.1,5370.16006536907,-745.179735029265,-229.701051815129
background,128.5,78.7,4598.67503217423,-581.36067548598,-461.365620397003
background,144.7,78.7,4058.34295038014,1180.23771190517,-504.637295713573
background,174.1,78.7,5267.81855751079,-1150.59252852561,-270.135250529626
background,115.1,76.7,4355.12856240273,627.880588154157,-472.022902428601
background,93.3,69.7,4906.68618557826,1042.74023866031,-291.612571349132
background,73.1,65.7,4681.83073334104,-1889.55530382162,-549.662467084651
background,56.1,64.1,5305.57505724282,-2830.23295773021,-356.387969576972
background,-12.5,58.9,5015.92385931283,835.84411809884,-270.359313413166
background,90.5,56.7,-10780.7503577361,3305.96907652255,-2744.68878749754
background,13.9,53.5,3254.20368991211,-1406.40839171955,-499.071666428374
background,39.7,52.9,2709.61501581403,-2982.10376272381,-547.033083125319
background,45.7,50.1,2375.70002522498,-2832.73018810724,-890.271247003425
background,11.1,47.7,4199.80943399604,-1936.84722844996,-466.000212045302
background,23.3,43.9,2960.38611135729,-2071.93406236515,346.447984636556
background,64.7,43.1,-296.649370367577,-2166.39718839125,50.4548452238285
background,100.7,36.7,2232.3681648254,2568.18592015917,437.741023888632
background,-36.7,36.1,-4581.73382819539,-2785.67584888309,1403.63442700643
background,18.7,31.5,1754.65991447231,-3906.65772805603,-13.7309538727276
background,-26.7,31.1,-9337.03303344088,-2515.68542714367,2757.95342973283
background,94.9,30.3,1796.88111288134,-3813.32987323277,735.637868525506
background,-35.9,26.5,-779.19155541291,-2307.6389635487,1052.25948768421
background,107.1,23.3,776.12042995908,369.391480110978,569.34511517621
background,-22.9,21.5,-2179.27403221077,6150.33623566977,1090.77365501534
background,-31.9,20.5,-644.606840961989,-2406.08654521458,1495.54498481912
background,35.5,13.9,783.438582896913,-4077.48048190433,1208.11933591463
background,-43.5,6.3,5038.25525252995,-209.732579917378,-263.833652695046
background,-67.3,5.09999999999999,5790.43555147018,-3142.08028584536,-211.463749369348
background,-29.3,-0.5,5070.39386329512,866.03377880754,-274.650354990846
background,8.10000000000002,-0.700000000000003,5166.66034595109,421.515252535253,-264.434320099276
background,-50.7,-1.10000000000001,4680.42715169304,2774.29451842312,-302.50598791933
background,42.1,-7.90000000000001,4364.22246407746,-3413.03737825328,-222.770410415471
background,-44.3,-8.7,3561.23015035327,-695.311198876766,282.029951285854
background,3.70000000000002,-9.10000000000001,2871.27688471134,4288.10182598462,-146.578281325172
background,-48.9,-10.3,4016.76859537104,-2935.51362174851,382.103132982898
background,25.9,-11.5,2564.79689040895,-2619.16106397013,572.69391779204
background,-28.7,-12.9,2164.95571760897,-1207.70499060375,777.980438488656
background,16.9,-12.9,2336.73423857868,-2016.55919666716,646.347198108539
background,6.30000000000001,-16.3,1139.78831200819,-7.93710925749755,794.403806504882
background,-38.3,-17.5,728.697122683909,5566.71391665089,550.577234856276
background,-18.5,-20.5,672.160542111432,-1330.23143385751,996.85461162702
background,-4.89999999999998,-21.1,-757.086189798658,7592.97837526088,720.678171137334
background,40.5,-25.7,1761.50062667089,-879.53946851412,-145.523303069673
background,-11.5,-31.3,-9338.61580672961,1386.69440775437,-226.358108994105
background,24.7,-33.5,124.010817830679,-1674.3419988643,176.143734378672
background,26.1,-34.3,-16756.4888323727,-3028.85029321704,4388.45685400555
background,29.1,-34.5,-14947.8002052166,135.067042235417,4971.61271161326
background,61.3,-34.9,-4232.79426497976,-370.251569422238,979.888110593472
background,0.700000000000017,-38.1,-5177.31724513997,-386.69019273884,1710.04352787792
background,-21.9,-39.9,-3516.55085583753,-301.123058739547,808.201755608389
background,61.9,-42.3,-3918.37788960905,-1512.63690865726,1470.57569809546
background,100.7,-42.5,-16.9034945849121,-1514.54221086427,284.857608235805
background,53.9,-43.9,-1473.08145272226,-1366.02665062949,923.405049780747
background,83.1,-47.5,-3269.25735027999,-2174.55509110709,137.626151977464
background,59.5,-50.7,1262.16459310199,1171.92715697297,-436.362699860856
background,-27.1,-51.7,3381.19034809695,3185.53572807639,-67.0305014590176
background,50.9,-59.7,213.12972356481,947.445932914154,-445.498163814395
background,-14.1,-63.3,1860.84475728778,-1554.4661918897,-587.916464999589
background,7.10000000000002,-66.9,-8767.88696179974,203.996530026117,-1123.05207723984
