"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"4100","Sinoblatta laiyangensis","species","Late Barremian","Early Aptian",130,122.46,119.312134,41.156223,130.62,39.94,"Blattodea",13,12,119.9225,44.0888
"12100","Vrtula sama","species","Aptian","",125,113,107.922997,44.716,119.05,41.9,"Blattodea",12,11,107.5552,46.1168
"2471","Meiatermes araripena","species","Late Aptian","",122.46,112.03,-39.700001,-7.125,2.59,-4.99,"Blattodea",12,11,-7.1929,-7.392
"2615","Nipponoblatta acerba","species","Late Barremian","Early Aptian",130,122.46,120.834999,41.615002,128.6,41.74,"Blattodea",13,12,121.3431,44.7867
"2818","Elisama extenuata","species","Late Barremian","Early Aptian",130,122.46,117.958,41.150002,126.06,40.64,"Blattodea",13,12,118.5422,43.8589
"2924","Blattula platypa","species","Late Barremian","Early Aptian",130,122.46,117.958,41.150002,126.06,40.64,"Blattodea",13,12,118.5422,43.8589
"3010","Blattula delicatula","species","Late Barremian","Early Aptian",130,122.46,117.958,41.150002,126.06,40.64,"Blattodea",13,12,118.5422,43.8589
"3133","Blattula rudis","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,117.0381,42.2295
"3210","Jitermes tsaii","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,117.0381,42.2295
"3349","Yanjingtermes giganteus","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,117.0381,42.2295
"3411","Yongdingia opipara","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,117.0381,42.2295
"35","Huaxiatermes huangi","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,117.0381,42.2295
"3610","Asiatermes reticulatus","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,117.0381,42.2295
"3736","Mesotermopsis incompleta","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,117.0381,42.2295
"38","Mesotermopsis lata","species","Late Aptian","",122.46,112.03,116.080002,39.799999,128.25,37.72,"Blattodea",12,11,117.0381,42.2295
"88","Piniblattella sharingolensis","species","Barremian","",129.4,125,109.845001,45.353001,117.4,43.32,"Blattodea",13,12,109.2291,47.0799
"89","Elisama fragmentaria","species","Barremian","",129.4,125,109.845001,45.353001,117.4,43.32,"Blattodea",13,12,109.2291,47.0799
