"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"97","Xonpepetla rinconensis","species","Late Campanian","",83.5,70.6,-101.349998,25.25,-68.24,34.32,"Blattodea",8,7,-73.9407,31.0143
"110","Stantoniella cretacea","species","Middle Campanian","Late Campanian",83.5,70.6,-111.629997,45.82,-71.52,56.67,"Blattodea",8,7,-78.2857,53.2196
"138","Isoptera","infraorder","Middle Campanian","",83.5,70.6,-111.699997,49.825001,-66.71,60.15,"Blattodea",8,7,-74.4393,56.8639
"448","Strictiblatta longanusis","species","Late Cretaceous","",100.5,66,117.309998,31.82,117.17,30.07,"Blattodea",10,7,109.4695,31.8361
"656","Liberiblattinidae","family","Late Santonian","",85.8,83.5,99.562897,71.307404,85.33,66.07,"Blattodea",9,8,74.3651,67.4797
"657","Blattulidae","family","Late Santonian","",85.8,83.5,99.562897,71.307404,85.33,66.07,"Blattodea",9,8,74.3651,67.4797
"658","Perlucipecta","genus","Late Santonian","",85.8,83.5,99.562897,71.307404,85.33,66.07,"Blattodea",9,8,74.3651,67.4797
"22101","Dermestidae","family","Late Campanian","",83.5,70.6,-112.640831,48.910831,-68.57,59.57,"Coleoptera",8,7,-76.0625,56.2234
"4601","Palaeoleptochromus schaufussi","species","Middle Campanian","",83.5,70.6,-111.699997,49.825001,-66.71,60.15,"Coleoptera",8,7,-74.4393,56.8639
"4612","Mesopachymerus antiqua","species","Middle Campanian","",83.5,70.6,-111.699997,49.825001,-66.71,60.15,"Coleoptera",8,7,-74.4393,56.8639
"742","Aphytocerus communis","species","Late Santonian","",85.8,83.5,99.562897,71.307404,85.33,66.07,"Coleoptera",9,8,74.3651,67.4797
"746","Nganasania khetica","species","Late Santonian","",85.8,83.5,99.562897,71.307404,85.33,66.07,"Coleoptera",9,8,74.3651,67.4797
"747","Succinimontia infleta","species","Late Santonian","",85.8,83.5,99.562897,71.307404,85.33,66.07,"Coleoptera",9,8,74.3651,67.4797
"870","Stenus (Nestus) imputribilis","species","Early Campanian","",83.5,70.6,150.490005,60.167,133.08,63.88,"Coleoptera",8,7,133.9018,65.8142
"871","Cretoquedius oculatus","species","Early Campanian","",83.5,70.6,150.490005,60.167,133.08,63.88,"Coleoptera",8,7,133.9018,65.8142
"872","Archaeoxylita zherichini","species","Late Santonian","",85.8,83.5,99.562897,71.307404,85.33,66.07,"Coleoptera",9,8,74.3651,67.4797
"873","Pseudohallomenus cretaceus","species","Late Santonian","",85.8,83.5,99.562897,71.307404,85.33,66.07,"Coleoptera",9,8,74.3651,67.4797
"979","Cyllolithus mirandus","species","Early Campanian","",83.5,70.6,150.490005,60.167,133.08,63.88,"Coleoptera",8,7,133.9018,65.8142
"1813","Metabuprestium sibiricum","species","Early Campanian","",83.5,70.6,146.737,63.248001,126.05,65.82,"Coleoptera",8,7,126.9242,68.0972
"1814","Metabuprestium arkagalense","species","Early Campanian","",83.5,70.6,146.737,63.248001,126.05,65.82,"Coleoptera",8,7,126.9242,68.0972
"2076","Hylobiites cretaceus","species","Early Campanian","Middle Campanian",83.5,70.6,-101.415001,50.695,-54.47,58.03,"Coleoptera",8,7,-62.9236,55.2303
