"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"3","Triassagrion australiense","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Archizygoptera",23,21,102.2257,-58.5488
"13100","Blattodea","order","Norian","",228,208.5,-79.668999,36.540901,-12.82,9.85,"Blattodea",23,21,-23.3874,10.1504
"4410","Austromylacrites latus","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,102.2257,-58.5488
"45","Blattodea","order","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,102.2257,-58.5488
"4610","Austroblattula ipsviciensis","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Blattodea",23,21,102.2257,-58.5488
"5710","Blattodea","order","Late Triassic","",237,201.3,29.049999,-28.566668,10.1,-51.82,"Blattodea",24,20,1.5912,-50.8041
"2961","Coleoptera","order","Carnian","Norian",237,208.5,18.275557,50.665833,27.93,33.11,"Coleoptera",24,21,15.5823,35.4929
"3212","Coleoptera","order","Norian","",228,208.5,-53.446667,-29.5625,-6.86,-38.53,"Coleoptera",23,21,-16.0295,-37.6978
"9110","Phoroschizidae","family","Norian","",228,208.5,-79.668999,36.540901,-12.82,9.85,"Coleoptera",23,21,-23.3874,10.1504
"22110","Ademosyne llantenesensis","species","Norian","",228,208.5,-69.589996,-35.630001,-23.06,-45.59,"Coleoptera",23,21,-32.0802,-45.4725
"22210","Ademosyne rosenfeldi","species","Norian","",228,208.5,-69.589996,-35.630001,-23.06,-45.59,"Coleoptera",23,21,-32.0802,-45.4725
"2505","Ademosyne australiensis","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"25110","Ademosynoides angusta","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"252","Ademosynoides obtusa","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"253","Ademosyne olliffi","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"254","Ademosyne major","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"25510","Ademosynoides minor","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"25610","Ademosyne congener","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"25710","Platycrossos tumidus","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"25810","Ademosyne cameroni","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"25910","Ademosyne punctata","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"26010","Ulomites willcoxi","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"26110","Mesothoris clathrata","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"265","Mesostigmodera typica","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"266","Etheridgea australis","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Coleoptera",23,21,102.2257,-58.5488
"315","Kenderlyka consobrina","species","Norian","",228,208.5,85.199997,47.5,80.08,58.25,"Coleoptera",23,21,70.4017,59.6326
"316","Obrieniidae","family","Alaunian","",215.56,212,131.720001,43.299999,152.36,55.4,"Coleoptera",22,21,128.6845,48.2726
"3601","Coleoptera","order","Late Triassic","",237,201.3,29.049999,-28.566668,10.1,-51.82,"Coleoptera",24,20,1.5912,-50.8041
"36110","Coleoptera","order","Late Triassic","",237,201.3,29.5,-29.5,9.94,-52.82,"Coleoptera",24,20,1.4967,-51.8153
"5112","Gnathosyne akkolkensis","species","Norian","",228,208.5,85.199997,47.5,80.08,58.25,"Coleoptera",23,21,70.4017,59.6326
