"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"5100","Pseudoplecta krassilovi","species","Turonian","",93.9,89.8,35.049999,30,39.04,12.3,"Blattodea",9,9,28.916,11.0942
"6100","Ergaula atica","species","Turonian","",93.9,89.8,35.049999,30,39.04,12.3,"Blattodea",9,9,28.916,11.0942
"7","Netherea haatika","species","Turonian","",93.9,89.8,35.049999,30,39.04,12.3,"Blattodea",9,9,28.916,11.0942
"8100","Paratropes fossilis","species","Turonian","",93.9,89.8,35.049999,30,39.04,12.3,"Blattodea",9,9,28.916,11.0942
"5010","Blattodea","order","Turonian","",93.9,89.8,26.360001,-22.309999,17.47,-36.34,"Blattodea",9,9,12.5009,-39.3696
"94","Blattodea","order","Early Cenomanian","",99.6,93.5,-0.9,45.948002,14.8,41.97,"Blattodea",10,9,0.71,35.9525
"114","Isoptera","infraorder","Early Cenomanian","",99.6,93.5,-0.695,45.935001,14.99,41.95,"Blattodea",10,9,0.8859,35.9383
"124","Kachinitermopsis burmensis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"125","Proelectrotermes swinhoei","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"126","Kachinitermes tristis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"146","Mylacrotermes cordatus","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"147","Dharmatermes avernalis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"148","Tanytermes anawrahtai","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"149","Proelectrotermes holmgreni","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"166","Nula sis","species","Cenomanian","",100.5,93.9,5.983333,44.156387,21.04,39.84,"Blattodea",10,9,6.6589,34.181
"167","Blattella lengleti","species","Early Cenomanian","",99.6,93.5,-0.175,45.700001,15.45,41.69,"Blattodea",10,9,1.3308,35.7007
"171","Cretatermes carpenteri","species","Cenomanian","",100.5,93.9,-66.75,54.687,-17.13,54.86,"Blattodea",10,9,-28.8236,48.3627
"172","Archeorhinotermes rossi","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"174","Carinatermes nascimbeni","species","Turonian","",93.9,89.8,-74.321945,40.465557,-31.18,41.45,"Blattodea",9,9,-40.8758,36.1436
"260","Turoniblatta israelica","species","Turonian","",93.9,89.8,35.049999,30,39.04,12.3,"Blattodea",9,9,28.916,11.0942
"261","Nehevblattella grofitica","species","Turonian","",93.9,89.8,35.049999,30,39.04,12.3,"Blattodea",9,9,28.916,11.0942
"372","Mieroblattina pacis","species","Middle Cenomanian","",99.6,93.5,35.685001,34.056999,41.93,16.62,"Blattodea",10,9,30.1634,15.0023
"448","Strictiblatta longanusis","species","Late Cretaceous","",100.5,66,117.309998,31.82,117.17,30.07,"Blattodea",10,7,110.8611,34.7712
"458","Mesoblattininae","subfamily","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,1.7167,37.8222
"459","Isoptera","infraorder","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,1.7167,37.8222
"460","Mastotermes sarthensis","species","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,1.7167,37.8222
"479","Lutetiatermes priscus","species","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,1.7167,37.8222
"480","Lutetiatermes","genus","Early Cenomanian","",99.6,93.5,0.26,47.823002,16.08,43.78,"Blattodea",10,9,1.7167,37.8222
"485","Termitotron vendeense","species","Turonian","",93.9,89.8,-1.858,46.882,12.37,40.93,"Blattodea",9,9,-0.0985,36.8934
"517","Manipulator modificaputis","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"523","Ginormotermes rex","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"524","Euisoptera","unranked clade","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
"525","Krishnatermes yoddha","species","Early Cenomanian","",99.6,93.5,96.720001,26.359167,105.5,8.29,"Blattodea",10,9,999.99,999.99
