"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"18","Protomyrmeleon anglicanus","species","Rhaetian","",208.5,201.3,-2.216667,51.929443,8.95,34.71,"Archizygoptera",21,20,0.7896,38.1359
"55","Protomyrmeleon brunonis","species","Sinemurian","",199.3,190.8,-2.925,50.73,10.33,37.17,"Archizygoptera",20,19,0.8011,36.8574
"41","Blattodea","order","Sinemurian","",199.3,190.8,28.75,-30.42,16.11,-44.39,"Blattodea",20,19,0.9863,-44.92
"4310","Pedinoblatta stromeri","species","Hettangian","",201.3,199.3,11.525,49.935001,19.85,38.92,"Blattodea",20,20,12.029,39.6586
"49","Nannoblattina petulantia","species","Obtusum","",196.5,189.6,-2.92,50.73,10.81,37.91,"Blattodea",20,19,0.8048,36.8585
"5710","Blattodea","order","Late Triassic","",237,201.3,29.049999,-28.566668,10.1,-51.82,"Blattodea",24,20,2.4041,-43.349
"200","Blattula incompleta","species","Rhaetian","",208.5,201.3,-2.14,52.060001,8.93,34.85,"Blattodea",21,20,0.7862,38.2747
"204","Schambeloblattina formosa","species","Angulata","",201.3,196.5,8.233333,47.466667,19.25,36.05,"Blattodea",20,20,10.7628,36.5256
"205","Mesoblattina angustata","species","Angulata","",201.3,196.5,8.233333,47.466667,19.25,36.05,"Blattodea",20,20,10.7628,36.5256
"206","Mesoblattinidae","family","Angulata","",201.3,196.5,8.233333,47.466667,19.25,36.05,"Blattodea",20,20,10.7628,36.5256
"244","Mesoblattinidae","family","Rhaetian","",208.5,201.3,-2,52,9.06,34.83,"Blattodea",21,20,0.916,38.2496
"321","Hongaya elegans","species","Rhaetian","",208.5,201.3,107.129997,20.965,124.71,33.87,"Blattodea",21,20,110.6388,30.6802
"322","Rhaetoblattina brevis","species","Rhaetian","",208.5,201.3,107.129997,20.965,124.71,33.87,"Blattodea",21,20,110.6388,30.6802
"323","Kebaona obscura","species","Rhaetian","",208.5,201.3,107.330002,21.030001,124.92,33.96,"Blattodea",21,20,110.8478,30.7628
"338","Actinoblattula charlesi","species","Rhaetian","",208.5,201.3,32.485001,41.779999,40.5,37.77,"Blattodea",21,20,999.99,999.99
"339","Blattula tchakrasensis","species","Rhaetian","",208.5,201.3,32.485001,41.779999,40.5,37.77,"Blattodea",21,20,999.99,999.99
"340","Blattula piveteaui","species","Rhaetian","",208.5,201.3,32.485001,41.779999,40.5,37.77,"Blattodea",21,20,999.99,999.99
"349","Blattulidae","family","Hettangian","",201.3,199.3,20.66,51.126999,25.56,42.98,"Blattodea",20,20,18.2934,43.2765
"350","Blattodea","order","Hettangian","",201.3,199.3,20.66,51.126999,25.56,42.98,"Blattodea",20,20,18.2934,43.2765
"362","Nipponoblatta deformis","species","Hettangian","",201.3,199.3,113.449997,27.35,132.95,41.21,"Blattodea",20,20,116.8983,37.5497
"363","Summatiblatta colorata","species","Hettangian","",201.3,199.3,113.449997,27.35,132.95,41.21,"Blattodea",20,20,116.8983,37.5497
"364","Mesoblattina xiangnanensis","species","Hettangian","",201.3,199.3,113.449997,27.35,132.95,41.21,"Blattodea",20,20,116.8983,37.5497
"365","Blattula apicifurca","species","Hettangian","",201.3,199.3,113.449997,27.35,132.95,41.21,"Blattodea",20,20,116.8983,37.5497
"367","Blattula zaoshangensis","species","Sinemurian","",199.3,190.8,113.849998,28.014999,135.3,41.41,"Blattodea",20,19,117.2786,38.2408
"369","Blattula kiensis","species","Sinemurian","",199.3,190.8,113.849998,28.014999,135.3,41.41,"Blattodea",20,19,117.2786,38.2408
"21101","Metacupes harrisi","species","Hettangian","Sinemurian",201.3,190.8,-3.570556,51.465279,9.24,37.3,"Coleoptera",20,19,0.0033,37.4056
