"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"29418","Afrohagla contorta","species","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Orthoptera",24,23,-4.7415,-59.7152
"29517","Dordrechtia","genus","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Orthoptera",24,23,-4.7415,-59.7152
"29615","Gryllacrimima","genus","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Orthoptera",24,23,-4.7415,-59.7152
"29716","Proparagryllacrididae","family","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Orthoptera",24,23,-4.7415,-59.7152
"29814","Proparagryllacrididae","family","Carnian","",237,228,26.216667,-31.566668,-3.72,-52.43,"Orthoptera",24,23,-5.7095,-59.4995
"29916","Dordrechtia aasvoelbergensis","species","Carnian","",237,228,26.216667,-31.566668,-3.72,-52.43,"Orthoptera",24,23,-5.7095,-59.4995
"30012","Lutheria dewetii","species","Carnian","",237,228,26.950001,-30.683332,-1.98,-52.2,"Orthoptera",24,23,-3.7202,-59.1206
"30116","Haglidae","family","Carnian","",237,228,26.950001,-30.683332,-1.98,-52.2,"Orthoptera",24,23,-3.7202,-59.1206
"30216","Afrohagla","genus","Carnian","",237,228,27.916668,-31.5,-1.87,-53.36,"Orthoptera",24,23,-3.246,-60.2585
"30315","Dordrechtia robusta","species","Carnian","",237,228,27.5,-29.5,-0.14,-51.62,"Orthoptera",24,23,-1.7146,-58.3826
"30415","Dordrechtia robusta","species","Carnian","",237,228,29,-30.5,0.4,-53.23,"Orthoptera",24,23,-0.5956,-59.9183
"30516","Lutheria dewetii","species","Carnian","",237,228,28.516001,-30.683001,-0.33,-53.09,"Orthoptera",24,23,-1.4929,-59.8521
"34715","Dordrechtia robusta","species","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Orthoptera",24,23,-4.7415,-59.7152
"41013","Notopamphagopsis","genus","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Orthoptera",24,23,-34.106,-44.3772
"4146","Notopamphagopsis","genus","Carnian","",237,228,-69.114998,-33.080002,-27.58,-39.29,"Orthoptera",24,23,-35.4881,-47.636
"7895","Euhagla saurensis","species","Norian","",228,208.5,85.199997,47.5,80.08,58.25,"Orthoptera",23,21,64.1849,55.1534
"7905","Paramaraga fusca","species","Carnian","",237,228,80.349998,43.450001,82.99,47.04,"Orthoptera",24,23,65.468,49.9247
"8755","Proparagryllacris crassifemur","species","Norian","",228,208.5,152.757004,-27.621,114.05,-60.76,"Orthoptera",23,21,118.188,-58.3857
"8766","Proparagryllacris crassifemur","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Orthoptera",23,21,118.1832,-58.3847
"9375","Afrohagla contorta","species","Carnian","",237,228,26.433332,-31.466667,-3.38,-52.48,"Orthoptera",24,23,-5.2979,-59.5224
"9385","Afrohagla contorta","species","Carnian","",237,228,27.5,-29.5,-0.14,-51.62,"Orthoptera",24,23,-1.7146,-58.3826
"9395","Afrohagla","genus","Carnian","",237,228,26.233334,-31.533333,-3.66,-52.41,"Orthoptera",24,23,-5.649,-59.4802
"94111","Notopamphagopsis bolivari","species","Carnian","",237,228,-69.119003,-33.082001,-27.59,-39.29,"Orthoptera",24,23,-35.4929,-47.6382
"9702","Ensifera","suborder","Norian","",228,208.5,-75.247398,40.344898,-9.47,13.81,"Orthoptera",23,21,-16.2202,7.8882
"10231","Cascadelcana virginiana","species","Norian","",228,208.5,-79.668999,36.540901,-12.82,9.85,"Orthoptera",23,21,-19.7049,4.0879
"10734","Magnatitan jongheoni","species","Norian","",228,208.5,126.625954,36.338951,138.14,38.97,"Orthoptera",23,21,111.4528,40.6577
"21000","Gondwanoperlidium argentinarum","species","Carnian","",237,228,-69.1101,-33.0812,-27.58,-39.29,"Plecoptera",24,23,-35.4819,-47.637
"3877","Gondwanoperlidium mendozensis","species","Carnian","",237,228,-69.1101,-33.0812,-27.58,-39.29,"Plecoptera",24,23,-35.4819,-47.637
"4137","Plecoptera","order","Norian","",228,208.5,152.781998,-27.552,114.17,-60.72,"Plecoptera",23,21,118.273,-58.3286
"16130","Euxenoperla clara","species","Carnian","",237,228,26.833332,-31.466667,-2.97,-52.71,"Plecoptera",24,23,-4.7415,-59.7152
"17129","Gondwanoperlidium argentina","species","Carnian","",237,228,-69.1101,-33.0812,-27.58,-39.29,"Plecoptera",24,23,-35.4819,-47.637
"37103","Argentinoperlidium rogersi","species","Carnian","",237,228,-67.76667,-29.883333,-26.28,-36.05,"Plecoptera",24,23,-34.106,-44.3772
"10420","Siberioperla angulata","species","Norian","",228,208.5,37.049999,49.18,40.37,39.41,"Plecoptera",23,21,31.1034,33.5539
"10525","Siberioperla ovalis","species","Norian","",228,208.5,85.199997,47.5,80.08,58.25,"Plecoptera",23,21,64.1849,55.1534
"12719","Trianguliperla aequalis","species","Norian","",228,208.5,85.199997,47.5,80.08,58.25,"Plecoptera",23,21,64.1849,55.1534
"13129","Trianguliperla innoxia","species","Norian","",228,208.5,37.049999,49.18,40.37,39.41,"Plecoptera",23,21,31.1034,33.5539
"13220","Berekia neglecta","species","Norian","",228,208.5,37.049999,49.18,40.37,39.41,"Plecoptera",23,21,31.1034,33.5539
"20520","Platyperla marquati","species","Carnian","",237,228,-69.1101,-33.0812,-27.58,-39.29,"Plecoptera",24,23,-35.4819,-47.637
"21923","Gondwanoperlidium triassicum","species","Norian","",228,208.5,152.757004,-27.621,114.05,-60.76,"Plecoptera",23,21,118.188,-58.3857
"22023","Gondwanoperlidium triassicum","species","Norian","",228,208.5,152.753998,-27.621,114.05,-60.76,"Plecoptera",23,21,118.1832,-58.3847
"24816","Capitiperla tonicopoda","species","Carnian","",237,228,88.18,43.125,90.36,50.01,"Plecoptera",24,23,72.2225,53.8274
"25618","Triassoperla yongrenensis","species","Norian","",228,208.5,101.550003,26.1,111.46,26.03,"Plecoptera",23,21,89.7819,22.4683
"26218","Siberioperlidae","family","Norian","",228,208.5,126.63028,36.350834,138.15,38.98,"Plecoptera",23,21,111.461,40.6684
"26318","Platyperla","genus","Norian","",228,208.5,126.63028,36.350834,138.15,38.98,"Plecoptera",23,21,111.461,40.6684
"26418","Baleyopterygidae","family","Norian","",228,208.5,126.625954,36.338951,138.14,38.97,"Plecoptera",23,21,111.4528,40.6577
"21003","Cladochoristella bryani","species","Norian","",228,208.5,152.781998,-27.552,114.17,-60.72,"Trichoptera",23,21,118.273,-58.3286
"3887","Prorhyacophila colliveri","species","Norian","",228,208.5,152.781998,-27.552,114.17,-60.72,"Trichoptera",23,21,118.273,-58.3286
"32414","Terrindusia","genus","Carnian","",237,228,84.932503,45.673332,85.08,50.75,"Trichoptera",24,23,66.3822,53.8334
