"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"5","Mongolagrion shartegensis","species","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Archizygoptera",15,14,97.3941,45.5078
"21","Protomyrmeleon jurassicus","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Archizygoptera",15,14,19.0967,40.199
"22","Protomyrmeleontidae","family","Early Berriasian","",145,140.2,-1.95,50.605,16.17,33,"Archizygoptera",14,14,7.832,41.5272
"23","Protomyrmeleon cretacicus","species","Late Hauterivian","",136.4,130,-0.325,51.133331,22.76,35.83,"Archizygoptera",14,13,9.1911,42.0789
"24","Saxomyrmeleon keatingei","species","Berriasian","",145,139.8,-2.008,51.082001,16.64,33.58,"Archizygoptera",14,14,7.7702,42.0034
"44","Malmagrion eichstattensis","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Archizygoptera",15,14,19.0967,40.199
"46","Malmagrion eichstattense","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Archizygoptera",15,14,19.0967,40.199
"51","Malmomyrmeleon viohli","species","Early Tithonian","",150.8,145,11.175,48.904999,23.89,32.08,"Archizygoptera",15,14,19.1228,40.1953
"52","Malmomyrmeleon viohli","species","Early Tithonian","",150.8,145,11.145,48.91,23.87,32.08,"Archizygoptera",15,14,19.0967,40.199
"53","Protomyrmeleon","genus","Tithonian","",152.1,145,95.776001,44.139,96.01,49.82,"Archizygoptera",15,14,97.3941,45.5078
"54","Protomyrmeleon","genus","Tithonian","",152.1,145,95.766998,44.137001,96.01,49.82,"Archizygoptera",15,14,97.3858,45.5044
"2417","Valditermes brenanae","species","Late Hauterivian","",136.4,130,-0.325,51.133331,22.76,35.83,"Blattodea",14,13,9.1911,42.0789
"3115","Isoptera","infraorder","Kimmeridgian","Tithonian",157.3,145,-107.846802,44.541901,-40.98,31.5,"Blattodea",16,14,-55.5596,41.9194
"66","Blattula choutinensis","species","Tithonian","",152.1,145,107.796997,45.591999,109.01,53.53,"Blattodea",15,14,109.5941,46.6509
"67","Blattula choutinensis","species","Tithonian","",152.1,145,107.796997,45.591,109.01,53.53,"Blattodea",15,14,109.5942,46.6499
"93","Corydiidae","family","Late Berriasian","",145,140.2,-1.95,50.605,16.17,33,"Blattodea",14,14,7.832,41.5272
"98","Mesoblattina minima","species","Late Berriasian","",145,140.2,-1.95,50.605,16.17,33,"Blattodea",14,14,7.832,41.5272
"99","Mesoblattinidae","family","Late Hauterivian","",136.4,130,-1.440833,52.72139,22.05,37.47,"Blattodea",14,13,8.2003,43.6498
