"","name","rank","early_i","late_i","max_ma","min_ma","lng","lat","paleolng","paleolat","group","max_m","min_m","Mlng","Mlat"
"6","Protomyrmeleon grandis","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,73.5947,41.4058
"8","Protomyrmeleon karatauensis","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,73.5947,41.4058
"9","Protomyrmeleon kazakhstanensis","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,73.5947,41.4058
"12","Protomyrmeleon pumilio","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,73.5947,41.4058
"13","Protomyrmeleon","genus","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Archizygoptera",17,16,73.5947,41.4058
"19","Protomyrmeleon handlirschi","species","Callovian","Oxfordian",166.1,157.3,69.916,42.262001,78.13,40.41,"Archizygoptera",17,16,73.6999,40.7724
"20","Protomyrmeleon angustovenosus","species","Callovian","Oxfordian",166.1,157.3,69.916,42.262001,78.13,40.41,"Archizygoptera",17,16,73.6999,40.7724
"3115","Isoptera","infraorder","Kimmeridgian","Tithonian",157.3,145,-107.846802,44.541901,-40.98,31.5,"Blattodea",16,14,-51.3396,38.9316
"22100","Blattula lanceolata","species","Oxfordian","",163.5,157.3,108.099998,51.27,107.13,60.08,"Blattodea",16,16,108.755,55.7969
"23100","Blattula udensis","species","Oxfordian","Kimmeridgian",163.5,152.1,111.25,52.369999,108.38,62,"Blattodea",16,15,111.6822,57.3465
"2712","Blattula curvula","species","Callovian","Oxfordian",166.1,157.3,117.605003,40.959999,128.08,48.7,"Blattodea",17,16,120.7378,42.2266
"4210","Blattula liaoningensis","species","Callovian","Oxfordian",166.1,157.3,120.349998,40.966667,131.16,49.15,"Blattodea",17,16,123.5367,42.2133
"100","Latiblatta lativalvata","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Blattodea",17,16,73.5947,41.4058
"101","Karatavoblatta longicaudata","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Blattodea",17,16,73.5947,41.4058
"102","Rhipidoblattinopsis latitergata","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Blattodea",17,16,73.5947,41.4058
"105","Kazachiblattina asiatica","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Blattodea",17,16,73.5947,41.4058
"107","Blattula brevicaudata","species","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Blattodea",17,16,73.5947,41.4058
"123","Blattodea","order","Callovian","Oxfordian",166.1,157.3,70.001663,42.897221,77.87,41.02,"Blattodea",17,16,73.5947,41.4058
"303","Mesoblattina wuweiensis","species","Late Jurassic","Early Cretaceous",163.5,100.5,102.239998,38.049999,111.09,35.22,"Blattodea",16,10,105.057,39.3726
"351","Jingyuanoblatta pluma","species","Middle Jurassic","",174.1,163.5,104.769997,36.904999,119.74,40.54,"Blattodea",17,16,107.6313,38.225
"456","Mesoblattina sinica","species","Callovian","Oxfordian",166.1,157.3,120.800003,41.75,131.41,49.99,"Blattodea",17,16,124.0068,42.993
"457","Mesoblattina","genus","Callovian","Oxfordian",166.1,157.3,115.940002,40.825001,126.27,48.29,"Blattodea",17,16,119.0382,42.1023
