Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.08767E-2,1.087671287,0.370642424,1,0,0
1.08937E-2,2.177040732,0.371006407,0.983333333,0,0
1.102E-2,3.279044785,0.373701349,0.966666667,0,0
1.1033E-2,4.382347733,0.373977093,0.95,0,0
1.10564E-2,5.487988366,0.374472752,0.933333333,0,0
1.10882E-2,6.596804457,0.375144787,0.916666667,0,0
1.10992E-2,7.706723855,0.375377946,0.9,0,0
1.11138E-2,8.818102036,0.375685961,0.883333333,0,0
1.12033E-2,9.938433573,0.377569782,0.866666667,0,0
1.12505E-2,11.063481317,0.378557526,0.85,0,0
1.12984E-2,12.19331803,0.379557306,0.833333333,0,0
1.13205E-2,13.325367041,0.380018076,0.816666667,0,0
1.13999E-2,14.465353018,0.381665544,0.8,0,0
1.17055E-2,15.635901475,0.387928427,0.783333333,0,0
1.17359E-2,16.809493039,0.388545084,0.766666667,0,0
1.18895E-2,17.998447353,0.391639328,0.75,0,0
1.1927E-2,19.191146741,0.392388889,0.733333333,0,0
1.21188E-2,19.956092299,0.396198128,0.716666667,0,0
1.22337E-2,20.41451405,0.398458151,0.716666667,0.142857143,0
1.24414E-2,21.658653785,0.402500656,0.7,0.142857143,0
1.26329E-2,22.921942293,0.40617935,0.683333333,0.142857143,0
1.2673E-2,24.189242552,0.40694432,0.666666667,0.142857143,0
1.27552E-2,25.464764294,0.408505871,0.65,0.142857143,0
1.28065E-2,26.745414362,0.409475764,0.633333333,0.142857143,0
1.29013E-2,28.035542371,0.41125993,0.616666667,0.142857143,0
1.29224E-2,29.327784264,0.411656387,0.6,0.142857143,0
1.30309E-2,30.63087374,0.413682468,0.583333333,0.142857143,0
1.30456E-2,31.93542988,0.413955337,0.566666667,0.142857143,0
1.33724E-2,32.813933707,0.419970369,0.55,0.142857143,0
1.35496E-2,33.290391818,0.423181276,0.55,0.285714286,0
1.3733E-2,34.663694253,0.426466532,0.533333333,0.285714286,0
1.3996E-2,36.063290314,0.431111645,0.516666667,0.285714286,0
1.41301E-2,37.476296827,0.433451922,0.5,0.285714286,0
1.42742E-2,38.903715077,0.435945564,0.483333333,0.285714286,0
1.45706E-2,40.360774496,0.441005948,0.466666667,0.285714286,0
1.47459E-2,41.835361739,0.443955829,0.45,0.285714286,0
1.47616E-2,43.311518302,0.444218423,0.433333333,0.285714286,0
1.49146E-2,44.802983142,0.446767005,0.416666667,0.285714286,0
1.5089E-2,46.311886246,0.449641865,0.4,0.285714286,0
1.51592E-2,47.827810221,0.450790902,0.383333333,0.285714286,0
1.51706E-2,49.344872825,0.450976799,0.366666667,0.285714286,0
1.53898E-2,50.883851835,0.454530578,0.35,0.285714286,0
1.61368E-2,52.497528833,0.46630481,0.333333333,0.285714286,0
1.61623E-2,54.113754833,0.466697633,0.316666667,0.285714286,0
1.61879E-2,55.732542753,0.467091865,0.3,0.285714286,0
1.64323E-2,57.37577545,0.470824351,0.283333333,0.285714286,0
1.64555E-2,59.021324907,0.471175388,0.266666667,0.285714286,0
1.71555E-2,60.736871077,0.481566039,0.25,0.285714286,0
1.71916E-2,62.456029317,0.482091164,0.233333333,0.285714286,0
1.73812E-2,64.194148852,0.484830413,0.216666667,0.285714286,0
1.78321E-2,65.977362199,0.491229953,0.2,0.285714286,0
1.84129E-2,67.818656266,0.499241962,0.183333333,0.285714286,0
1.9548E-2,69.773459144,0.514193332,0.166666667,0.285714286,0
2.18365E-2,71.137330465,0.541776859,0.15,0.285714286,0
2.34894E-2,72.1223997,0.559827899,0.15,0.571428571,0
2.34968E-2,74.472077579,0.559905236,0.133333333,0.571428571,0
2.51969E-2,76.99176648,0.577040168,0.116666667,0.571428571,0
2.64507E-2,79.636831887,0.588845556,0.1,0.571428571,0
2.66306E-2,82.299886938,0.590485605,0.083333333,0.571428571,0
3.03091E-2,84.578505126,0.621368768,0.066666667,0.714285714,0
3.17574E-2,85.475625508,0.632286718,0.066666667,0.857142857,0
3.35911E-2,86.83183631,0.645238828,0.05,0.857142857,0
3.67226E-2,89.147889947,0.665367746,0.05,1,0
4.39106E-2,93.53895097,0.703927313,0.033333333,1,0
6.46105E-2,100,0.777696178,0.016666667,1,0
