X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
0.71,35.9525,train,0.027146692435672606,82.97875976288375,0.5739293825295234
-40.7807,36.1015,train,0.050793272944847236,100.0,0.7159398148376681
57.2682,40.9914,train,0.019778888683559055,42.263503953218,0.49531543406480383
0.6689,35.7614,train,0.027144044194858306,82.94078788033806,0.5739055261292487
-51.6012,-1.9385,train,0.011720093942725314,7.909180615555304,0.36771102590896687
1.3308,35.7007,train,0.027144044194858306,82.94078788033806,0.5739055261292487
1.8059,36.7052,train,0.027145616175648375,82.96332777535149,0.5739196874759385
1.1903,29.1038,train,0.016937626965068044,26.658474080063844,0.4566549843161784
0.5533,36.0223,train,0.027147036015694185,82.98368619561374,0.5739324774384256
-40.8758,36.1436,train,0.050793272944847236,100.0,0.7159398148376681
42.7178,33.0179,train,0.01920930453667554,41.28094434739183,0.48801250262486845
126.5422,51.0326,train,0.015183156617047533,19.200374258085322,0.4296774525369652
