species,X,Y,PC1,PC2,PC3
insect.M.distribution160t5.1_PA2_RUN2,67.6384,45.4558,835.62072583228,1570.94530448578,-463.021743507345
insect.M.distribution160t5.1_PA2_RUN2,25.7219,42.8766,4480.63578587144,1763.93881458167,-290.546377492741
insect.M.distribution160t5.1_PA2_RUN2,-50.4376,32.5427,3287.79080099646,-221.626470987557,-388.327533318722
insect.M.distribution160t5.1_PA2_RUN2,1.33,33.182,505.567740923068,3301.460041652,-210.106296827391
insect.M.distribution160t5.1_PA2_RUN2,17.6748,39.3077,4802.33796325919,2796.13951995355,-598.732166460391
insect.M.distribution160t5.1_PA2_RUN2,1.33,33.182,505.567740923068,3301.460041652,-210.106296827391
insect.M.distribution160t5.1_PA2_RUN2,85.1706,14.1666,3328.2550750949,2653.84785283388,142.302056174696
insect.M.distribution160t5.1_PA2_RUN2,111.0466,47.4044,5432.38582767007,-7841.95474839151,-863.298357246191
insect.M.distribution160t5.1_PA2_RUN2,105.057,39.3726,4402.8250692501,-13115.980529157,-1189.24495691818
insect.M.distribution160t5.1_PA2_RUN2,85.1706,14.1666,3328.2550750949,2653.84785283388,142.302056174696
insect.M.distribution160t5.1_PA2_RUN2,7.8164,41.884,5335.28852452171,2696.49200186562,-636.547766008957
insect.M.distribution160t5.1_PA2_RUN2,107.6313,38.225,4346.29290105288,-11638.5056136078,-1137.13342073992
insect.M.distribution160t5.1_PA2_RUN2,32.7479,-23.3039,3382.2135477157,3410.28231401857,-729.284769405167
insect.M.distribution160t5.1_PA2_RUN2,107.4503,23.1467,4001.98288868873,-10252.1841615394,-207.282086702276
insect.M.distribution160t5.1_PA2_RUN2,107.4303,22.803,4001.98288868873,-10252.1841615394,-207.282086702276
insect.M.distribution160t5.1_PA2_RUN2,14.9259,36.6902,-3799.44001859478,3135.31652922513,942.471447014537
insect.M.distribution160t5.1_PA2_RUN2,15.1308,36.9105,-921.909036288297,3276.8130275594,-145.601139344146
insect.M.distribution160t5.1_PA2_RUN2,107.6313,38.225,4346.29290105288,-11638.5056136078,-1137.13342073992
insect.M.distribution160t5.1_PA2_RUN2,99.102,57.3481,4976.68783759564,-5232.87887673129,-1047.09841953683
