species,X,Y,PC1,PC2,PC3
insect.M.distribution240t9.1_PA2_RUN1,-8.8925,-67.8316,1525.00085457022,-2581.31157556775,-1660.46251966807
insect.M.distribution240t9.1_PA2_RUN1,60.181,36.5001,2543.1290027618,-5929.61782932607,357.57129075465
insect.M.distribution240t9.1_PA2_RUN1,20.186,5.5223,8083.92834682028,3848.10675940478,-1708.20881526168
insect.M.distribution240t9.1_PA2_RUN1,-18.7637,-51.8269,6911.63790224668,-2801.78825276737,-1182.19620820936
insect.M.distribution240t9.1_PA2_RUN1,120.4312,-69.5642,7272.8472949826,1582.18475694444,-1711.33235398411
insect.M.distribution240t9.1_PA2_RUN1,16.3018,14.4689,5248.85088306094,-2085.08690683988,64.0403471216803
insect.M.distribution240t9.1_PA2_RUN1,-13.8562,-2.712,7638.543192213,-4554.9953992362,-1625.77896390673
insect.M.distribution240t9.1_PA2_RUN1,17.6125,16.0378,4205.80413786475,-1417.80625368528,633.448547942829
insect.M.distribution240t9.1_PA2_RUN1,17.7083,16.3552,4205.80413786475,-1417.80625368528,633.448547942829
insect.M.distribution240t9.1_PA2_RUN1,62.3107,44.6587,-879.080791071538,-4185.4254654027,363.882808379778
insect.M.distribution240t9.1_PA2_RUN1,14.8909,5.0185,8044.99918710599,3334.35630865025,-1699.62717890342
insect.M.distribution240t9.1_PA2_RUN1,0.9348,-67.0728,3024.18236148039,-9738.08028288616,-1410.28017320353
insect.M.distribution240t9.1_PA2_RUN1,19.0347,8.5284,6778.70476323042,3944.54491128592,-848.421020421416
insect.M.distribution240t9.1_PA2_RUN1,14.8909,5.0185,8044.99918710599,3334.35630865025,-1699.62717890342
insect.M.distribution240t9.1_PA2_RUN1,17.5665,16.2724,4205.80413786475,-1417.80625368528,633.448547942829
insect.M.distribution240t9.1_PA2_RUN1,60.1332,36.5402,2543.1290027618,-5929.61782932607,357.57129075465
insect.M.distribution240t9.1_PA2_RUN1,14.8909,5.0185,8044.99918710599,3334.35630865025,-1699.62717890342
insect.M.distribution240t9.1_PA2_RUN1,-8.8925,-67.8316,1525.00085457022,-2581.31157556775,-1660.46251966807
insect.M.distribution240t9.1_PA2_RUN1,17.6125,16.0378,4205.80413786475,-1417.80625368528,633.448547942829
insect.M.distribution240t9.1_PA2_RUN1,23.0619,20.3396,4568.02738911243,3671.28835065496,414.293058954076
insect.M.distribution240t9.1_PA2_RUN1,17.4045,16.3137,4205.80413786475,-1417.80625368528,633.448547942829
insect.M.distribution240t9.1_PA2_RUN1,-39.3357,-48.9977,7578.92132751865,-5397.22196841737,-1583.03499551889
insect.M.distribution240t9.1_PA2_RUN1,-2.23,-68.5946,-1664.17011754749,-8556.40768732665,-2300.09963717784
insect.M.distribution240t9.1_PA2_RUN1,17.1558,13.3275,5320.23540862523,-1145.36453765132,48.6470088401539
insect.M.distribution240t9.1_PA2_RUN1,0.9348,-67.0728,3024.18236148039,-9738.08028288616,-1410.28017320353
insect.M.distribution240t9.1_PA2_RUN1,20.5969,7.9408,6781.3214110614,3978.98513926472,-848.985733817414
insect.M.distribution240t9.1_PA2_RUN1,7.2247,-45.6518,6123.72405121465,-1732.69126768055,-789.467652226133
insect.M.distribution240t9.1_PA2_RUN1,16.5817,16.3033,4266.5088871984,-618.621264932033,620.36055102374
insect.M.distribution240t9.1_PA2_RUN1,-37.9426,-51.0683,7852.40714903705,-1796.84850613935,-1642.00359936579
insect.M.distribution240t9.1_PA2_RUN1,16.381,14.3632,5248.85088306094,-2085.08690683988,64.0403471216803
insect.M.distribution240t9.1_PA2_RUN1,0.2033,-68.0718,-3582.19073559213,-9428.79724153922,-2497.8832098184
insect.M.distribution240t9.1_PA2_RUN1,19.0347,8.5284,6778.70476323042,3944.54491128592,-848.421020421416
insect.M.distribution240t9.1_PA2_RUN1,-3.2803,-67.0039,3825.67608042307,-7984.68522583351,-1484.30139018099
insect.M.distribution240t9.1_PA2_RUN1,-2.23,-68.5946,-1664.17011754749,-8556.40768732665,-2300.09963717784
insect.M.distribution240t9.1_PA2_RUN1,-5.8054,-68.8165,628.882511407221,-3073.71757802028,-1962.70952260404
insect.M.distribution240t9.1_PA2_RUN1,-37.9426,-51.0683,7852.40714903705,-1796.84850613935,-1642.00359936579
insect.M.distribution240t9.1_PA2_RUN1,-5.8662,-68.8416,628.882511407221,-3073.71757802028,-1962.70952260404
insect.M.distribution240t9.1_PA2_RUN1,20.186,5.5223,8083.92834682028,3848.10675940478,-1708.20881526168
