x,y,insect.M.distribution140t7.2_PA2_RUN2 logistic values
107.1,75.9,0.0
91.3,72.1,0.0
15.1,70.3,0.0
93.1,57.7,0.0
-17.3,57.3,0.0
4.30000000000001,54.3,0.0
39.3,44.7,0.0
40.1,43.9,0.0
31.7,41.9,0.0
58.5,35.9,0.0
85.3,24.1,0.0
104.7,18.7,0.0
29.9,5.89999999999999,0.0
-29.9,1.89999999999999,0.0
25.7,-0.100000000000009,0.0
-28.7,-1.30000000000001,0.0
0.700000000000017,-1.90000000000001,0.0
-9.09999999999999,-2.10000000000001,0.0
25.9,-2.10000000000001,0.0
18.1,-5.5,0.0
2.5,-5.90000000000001,0.0
20.3,-6.5,0.0
18.3,-7.30000000000001,0.0
-25.1,-8.90000000000001,0.0
-25.5,-9.10000000000001,0.0
-7.69999999999999,-9.7,0.0
45.7,-16.1,0.0
-24.7,-16.5,0.0
-10.5,-17.5,0.0
48.1,-19.3,0.0
-7.29999999999998,-27.5,0.0
-4.5,-29.3,0.0
41.5,-29.7,0.0
-26.5,-32.3,0.0
-2.89999999999998,-38.5,0.0
-27.5,-40.5,0.0
22.5,-41.9,0.0
45.7,-43.9,0.0
33.3,-46.3,0.0
74.7,-49.5,0.0
-30.9,-50.3,0.0
-3.5,-55.1,0.0
2.90000000000001,-55.7,0.0
78.9,-57.7,0.0
82.9,-58.7,0.0
79.1,-58.9,0.0
35.9,-59.3,0.0
114.5,-59.9,0.0
57.7,-62.7,0.0
-4.5,-63.1,0.5
-3.5,-65.3,0.0
48.5,-69.1,0.0
23.7,-69.7,0.0
78.3,-71.9,0.0
110.9,-73.9,0.0
-0.5,-75.1,0.0
104.5,-76.1,0.0
65.7,-76.3,0.0
10.3,-77.9,0.0
-15.1,-78.7,0.0
