X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
9.6879,40.4002,train,Infinity,100.0,NaN
99.4583,62.3936,train,0.0,0.0,0.0
8.7655,39.7378,train,Infinity,100.0,NaN
19.443,43.0475,train,Infinity,100.0,NaN
91.3854,49.5669,train,0.0,0.0,0.0
19.4027,43.0557,train,Infinity,100.0,NaN
45.3839,-60.7855,train,Infinity,100.0,NaN
85.4407,58.8465,train,Infinity,100.0,NaN
45.3463,-60.7939,train,Infinity,100.0,NaN
85.7786,59.1674,train,Infinity,100.0,NaN
20.4517,38.9757,train,0.0,0.0,0.0
15.7471,38.2216,train,Infinity,100.0,NaN
75.2712,41.8813,train,Infinity,100.0,NaN
32.4277,-30.4923,train,0.0,0.0,0.0
20.2231,38.6193,train,0.0,0.0,0.0
37.3313,-25.2967,train,0.0,0.0,0.0
120.8974,45.1787,train,0.0,0.0,0.0
101.203,61.9821,train,Infinity,100.0,NaN
18.7388,41.6621,train,Infinity,100.0,NaN
76.3284,42.1679,train,Infinity,100.0,NaN
20.2061,38.6112,train,0.0,0.0,0.0
17.9392,42.9351,train,Infinity,100.0,NaN
94.854,55.4325,train,Infinity,100.0,NaN
17.9457,42.8386,train,Infinity,100.0,NaN
15.6795,38.2424,train,Infinity,100.0,NaN
15.7227,38.2677,train,Infinity,100.0,NaN
15.6827,38.2593,train,Infinity,100.0,NaN
18.6703,41.573,train,Infinity,100.0,NaN
