Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.836E-8,0.000007836,0.000001651,1,0,0
9.21295E-8,0.000017049,0.000001941,0.983333333,0,0
3.03558E-6,0.000320607,0.000063966,0.966666667,0,0
6.90588E-6,0.001011195,0.000145508,0.95,0,0
2.14636E-5,0.003157558,0.000452104,0.933333333,0,0
4.32943E-5,0.00748699,0.000911521,0.916666667,0,0
6.32643E-5,0.013813423,0.001331411,0.9,0,0
7.56926E-5,0.028888804,0.00159255,0.866666667,0,0
1.1121E-4,0.058585708,0.002338075,0.816666667,0,0
2.29427E-4,0.104900147,0.004811515,0.766666667,0,0
6.23292E-4,0.221191329,0.012964504,0.716666667,0,0
7.11398E-4,0.361795723,0.014770065,0.683333333,0,0
8.19665E-4,0.443762186,0.01697972,0.666666667,0,0
9.87581E-4,0.54252029,0.020387268,0.65,0,0
1.01629E-3,0.644149011,0.020967442,0.633333333,0,0
1.16305E-3,0.760453678,0.023922863,0.616666667,0,0
1.31627E-3,0.892080247,0.026989386,0.6,0,0
1.42856E-3,1.034936615,0.029224708,0.583333333,0,0
1.85479E-3,1.220415156,0.03761611,0.566666667,0,0
1.95438E-3,1.415853285,0.039556073,0.55,0,0
2.29788E-3,1.645641273,0.046187271,0.533333333,0,0
2.35886E-3,1.881526818,0.047354838,0.516666667,0,0
3.05596E-3,2.187122754,0.060502729,0.5,0,0
3.69599E-3,2.556721844,0.072258623,0.483333333,0,0
3.92007E-3,2.948729341,0.076305297,0.466666667,0,0
3.92935E-3,3.341664055,0.07647198,0.45,0,0
4.06189E-3,3.747853046,0.078848105,0.433333333,0,0
4.14339E-3,4.162191556,0.080303028,0.416666667,0,0
4.16516E-3,4.578707105,0.080690914,0.4,0,0
4.68085E-3,5.046791723,0.089784329,0.383333333,0,0
4.76195E-3,5.522986346,0.091198059,0.366666667,0,0
4.91669E-3,6.014655795,0.093883471,0.35,0,0
6.89749E-3,6.704404374,0.126906389,0.333333333,0,0
9.47182E-3,7.651586663,0.166390359,0.316666667,0,0
1.08544E-2,8.737022032,0.186155986,0.3,0,0
1.20231E-2,9.939332611,0.202148527,0.283333333,0,0
1.60933E-2,11.548662382,0.253251169,0.266666667,0,0
1.95263E-2,13.501292044,0.291525224,0.25,0,0
2.54595E-2,16.047244886,0.349176728,0.233333333,0,0
3.35568E-2,19.402928361,0.414229122,0.216666667,0,0
4.3132E-2,23.487634093,0.476147171,0.2,0,0
4.38317E-2,23.786097554,0.480162192,0.2,0.333333333,0
4.87848E-2,28.66458204,0.50691698,0.183333333,0.333333333,0
5.08996E-2,33.754544163,0.51751919,0.166666667,0.333333333,0
5.725E-2,36.509585745,0.546782118,0.15,0.333333333,0
5.85097E-2,37.056115095,0.552170223,0.15,0.666666667,0
6.61463E-2,40.369178651,0.582275021,0.15,1,0
6.80827E-2,47.177452966,0.589276131,0.133333333,1,0
7.39385E-2,54.571305198,0.609088871,0.116666667,1,0
7.47488E-2,62.046185425,0.611680864,0.1,1,0
7.50324E-2,69.549420788,0.612579812,0.083333333,1,0
7.55781E-2,77.107228011,0.614298252,0.066666667,1,0
7.61532E-2,84.722547399,0.616092859,0.05,1,0
7.61666E-2,92.339209265,0.61613455,0.033333333,1,0
7.66079E-2,100,0.617499967,0.016666667,1,0
