background,x,y,PC1,PC2,PC3
background,93.9,85.9,-7323.63617905298,4064.18655470469,-1047.98211833279
background,-71.1,85.1,5363.21708964834,3670.28404739573,-2295.03970855916
background,-2.69999999999999,83.7,4916.9816241172,3477.38422496955,-2336.99968801019
background,-11.7,83.1,4882.97973730008,3294.91459228134,-2243.54138716999
background,-7.5,82.7,4889.4587238917,2558.79295109531,-2097.89270527753
background,89.3,81.9,-6681.57729034465,3857.63761164053,-1934.89024453195
background,-29.7,80.5,4962.18775334306,2079.76598839169,-1832.6194156317
background,-55.3,78.5,5217.62028654438,2231.45967289379,-1939.33372786458
background,-37.5,78.3,4753.74376541324,2293.25785618449,-1693.38145541916
background,58.5,76.1,-6133.06604126941,-3298.44860675075,773.834482353063
background,18.3,72.7,5704.8882881914,-161.652406690009,-1416.31043293157
background,42.1,66.1,1939.32940667725,-2626.56940677351,-860.441584476633
background,100.1,54.3,-1754.61048790427,-452.664694340298,946.599582147001
background,23.9,50.1,4265.11062254314,2267.52584505285,-1427.94035400888
background,37.5,49.3,2523.12187010947,2051.27557244617,-509.703434135748
background,43.1,46.9,2384.68259809546,1277.37061520383,-122.692867514106
background,86.9,45.3,1882.19443890768,-10668.8752972677,2229.65213157711
background,53.9,43.7,450.339985398852,1968.90405409106,797.893310363466
background,-10.7,42.3,-2657.35403073733,-267.365854344355,2513.283120501
background,75.5,40.9,2102.04809264977,3108.97139953118,257.704109462984
background,19.1,38.7,-7589.94260307828,4443.31754170417,5429.79607121134
background,-1.5,37.1,-6436.07721306364,-10262.1717108806,6971.21152021623
background,-32.3,35.5,-7851.13836172917,2995.32839859132,6182.33213419168
background,89.3,21.1,3164.45518391517,3982.21068239905,-949.019436634346
background,-28.3,17.9,2364.92515129066,679.473416082137,1396.41246745492
background,-48.3,13.1,5216.91216734697,-1211.41639585206,-60.5194536487304
background,-11.7,12.5,4279.66924649026,-385.946879655775,432.390721831875
background,84.1,9.09999999999999,5379.47187334929,-2866.81374629051,51.5949777485872
background,14.5,2.89999999999999,6876.27180675692,2879.25409956234,-2169.68858134221
background,27.3,1.3,6883.1653687828,3528.46937735458,-2316.57124857449
background,-40.1,-0.300000000000011,6850.67329131751,935.416781078022,-1724.15464722382
background,31.7,-0.300000000000011,6885.24113536479,3646.36345570221,-2343.15638911486
background,8.90000000000001,-1.7,6830.34270786071,-2334.56450567296,-989.287150677813
background,-41.9,-2.10000000000001,6848.78490733196,399.974386661792,-1602.54230653395
background,96.1,-2.5,6852.73195361178,666.524770094351,-1669.72843081878
background,-2.69999999999999,-7.90000000000001,5284.47983563139,413.844872238938,-826.152627549739
background,8.30000000000001,-8.5,5291.21824193648,-69.0600641200319,-805.760544902872
background,-5.89999999999998,-10.3,5310.21105411673,796.782520951373,-917.433882051003
background,29.9,-21.5,2262.25204845458,2182.87410362959,355.576844123778
background,-40.1,-24.3,3092.95051194228,1920.09636073861,-300.358930799216
background,-30.3,-28.7,3550.70107476763,1675.77009578761,-624.817634440509
background,27.1,-31.5,-4215.39698559275,2667.01187831856,2295.84735268448
background,29.3,-32.9,-4207.78124600767,3532.97480602644,2099.80029217216
background,-9.09999999999999,-34.5,-8661.34171509217,-736.246914332544,7881.40625528687
background,44.3,-34.5,-3720.50673787194,1641.66482615369,3312.02741358898
background,19.5,-41.1,249.769981316648,-278.021119047327,2112.04577015539
background,-36.3,-42.5,5418.50647443402,-4815.07968476878,192.928962196928
background,-20.3,-42.7,3744.08354205938,1059.22131533463,-266.45671650479
background,54.9,-45.7,4510.05784962629,-423.427365083564,-105.735263300215
background,66.7,-49.5,4921.55319468604,-5183.69404487716,627.515079659988
background,72.1,-55.5,5036.74718503365,-5662.41775810396,586.238079415979
background,15.5,-55.9,6585.24934776666,-3310.80628222731,-743.128353344421
background,-0.699999999999989,-56.1,6399.98983891892,-1774.44309189724,-1089.10475745263
background,56.5,-58.9,5827.18459697871,-7482.14421590178,286.682437584164
background,73.1,-60.3,347.652590842786,-3851.53164920515,-70.8254425996736
background,11.1,-61.1,5424.72290515602,-1640.59640463984,-743.446224735461
background,48.9,-64.3,4681.9220190321,253.333141128092,-1434.69510534792
background,46.7,-70.7,3522.22475080349,-1232.11602653048,-998.700384343762
background,123.1,-77.3,-10814.685425249,3866.28765260318,-2056.30430944935
background,122.3,-78.1,-10814.685425249,3866.28765260318,-2056.30430944935
