background,x,y,PC1,PC2,PC3
background,-151.3,81.3,5977.43476857926,709.903047219411,-166.733293854394
background,-87.9,79.7,6034.9149221951,3057.81256432192,-84.1370478126634
background,173.7,79.1,6050.83659006913,838.241068654743,-149.143942860362
background,-4.89999999999998,66.5,-18596.6299097439,409.317450857232,782.283303142589
background,0.5,63.5,-19088.837191093,-4569.82775018608,50.7594890507242
background,-13.3,60.3,-5592.37220681885,-2514.02904462244,-11.8337301533167
background,67.5,57.1,-23809.2978915906,2137.87152341595,662.488992264713
background,-42.5,54.3,5007.09348641998,56.523906752519,-194.085947289138
background,-43.5,45.7,2100.10385308342,-268.89122846834,126.934717805553
background,69.5,45.7,-3853.10991041207,-272.229266242085,-318.134071836156
background,12.9,44.7,1192.92808628856,2355.05087410428,-48.2378209995519
background,2.90000000000001,41.1,-860.130146071706,3159.09250624456,-65.8387131184306
background,39.5,41.1,2396.89329467695,2601.48979463203,561.962336838048
background,41.1,39.9,2396.42238821707,2709.15135270445,563.867170704184
background,-2.29999999999998,30.1,1901.83561782896,3157.69194307426,153.85786608836
background,74.1,27.5,1744.80039314827,896.095097031147,579.546021661014
background,84.5,26.5,1767.75784593468,-5718.49158959437,-101.722124706684
background,-3.5,23.5,2630.76263044215,2334.79142774589,376.02035594375
background,49.1,20.9,2562.4085078997,1281.01958536071,371.81362113393
background,7.5,20.3,1605.43647492363,2393.03495249776,711.862152897628
background,10.3,11.1,3819.42438519242,-1708.77418923417,347.160266085347
background,80.3,10.9,4578.52297268548,3191.8201101143,-353.202065220618
background,23.9,10.3,4129.21373563922,1468.91699948912,265.413566337094
background,-16.7,9.3,3053.11135544692,1096.30569209465,330.562423561974
background,-14.9,9.09999999999999,2881.7638236465,430.05120505403,454.798442463325
background,-18.1,7.3,4498.26612293413,1844.53206562732,310.447586087969
background,-8.09999999999999,3.89999999999999,4545.57208679331,-21.3809599490613,286.14758869625
background,-46.9,-0.5,6587.4364223098,-2494.64951024351,-71.3613485748391
background,-36.9,-2.10000000000001,6472.48029551721,-1175.52467621763,-86.9787746229251
background,51.9,-3.5,6554.44383099271,3193.39544170059,13.9149759952159
background,2.70000000000002,-8.30000000000001,3392.7554544675,540.209837620295,450.832565446266
background,-49.3,-9.10000000000001,3788.77952671081,1105.48769621984,427.492310230796
background,36.9,-12.1,2475.39691255998,3157.73324947571,782.682103294005
background,60.7,-13.1,2221.63043334062,3157.07105037289,635.358396903175
background,-34.9,-14.3,2986.21618176128,691.783156361211,620.376791642376
background,-54.3,-15.3,1960.92687974973,578.755937330936,219.426705901427
background,-36.3,-15.3,4181.94756457714,125.399586378221,35.9409080866309
background,-43.5,-16.1,2956.96112333478,-1192.3932019152,497.773157160278
background,4.90000000000001,-18.5,2523.56804123985,-871.605338102937,574.016508069819
background,58.1,-19.5,3862.04916917085,-284.775974641361,-460.304561935178
background,9.10000000000002,-20.1,3996.57706109573,-5434.30484475693,-232.026188171226
background,-28.7,-22.7,3984.09020630389,-7327.6245916056,-328.929725535655
background,62.9,-24.1,2041.55407757131,-568.343778279257,-42.582164497004
background,7.70000000000002,-24.9,4147.56011093403,-7323.73734547988,-542.243814895446
background,57.5,-27.9,2080.34383678369,-2335.47233177446,76.9048691425118
background,35.9,-32.7,-5936.42531267349,1309.03202470022,678.289891787864
background,-36.7,-33.9,4669.30002297319,2522.03374760294,-253.571544367215
background,101.3,-49.3,-6770.7072642109,2046.53153515545,831.095281149942
background,131.7,-49.7,4412.43233305384,-349.941424768929,-555.30089282027
background,109.9,-52.1,-8155.61348361726,-2955.39624711604,-609.348674203041
background,103.7,-52.7,-13469.2788325824,-1498.01993343623,500.919632373492
background,141.5,-56.1,5544.43495784232,1110.42210800991,-84.3469575548321
background,146.7,-56.5,2260.54004178027,1283.31215716932,-942.627390620472
background,110.1,-60.3,-7282.78060732758,1602.1138702328,-2002.82289480398
background,145.1,-60.3,-10312.4504431209,2787.06631309597,-1644.64335236855
background,120.1,-69.5,-30583.8547316036,2669.8035272678,-7728.08129371527
background,118.3,-70.9,-40626.1528329067,3127.01334435615,-10326.9853639443
background,23.1,-77.1,4349.31228774509,-7533.51454174015,-744.10417782047
background,35.7,-80.1,4112.11670651807,356.314812702943,-560.338851289507
background,58.7,-80.5,4152.28710969242,-7662.70733034513,-1051.29854128046
