species,X,Y,PC1,PC2,PC3
insect.M.distribution90t7.1_PA2_RUN2,-40.8758,36.1436,-9014.99921776721,-538.857682459256,5314.98819886046
insect.M.distribution90t7.1_PA2_RUN2,0.5533,36.0223,2061.9608152263,3152.00009193924,-378.882808072258
insect.M.distribution90t7.1_PA2_RUN2,77.9262,56.7389,-11803.9943480123,1495.40119844458,-1990.16467125326
insect.M.distribution90t7.1_PA2_RUN2,0.71,35.9525,2061.95617398872,3152.11052356703,-378.890723960206
insect.M.distribution90t7.1_PA2_RUN2,-40.7807,36.1015,-9014.99921776721,-538.857682459256,5314.98819886046
insect.M.distribution90t7.1_PA2_RUN2,57.2682,40.9914,6073.9907692815,3101.49690177943,263.562732880721
insect.M.distribution90t7.1_PA2_RUN2,-51.6012,-1.9385,10399.7576328459,-571.746618165646,-225.954910678875
insect.M.distribution90t7.1_PA2_RUN2,30.9553,36.0985,5532.68933333776,3021.54521424859,78.9119259540962
insect.M.distribution90t7.1_PA2_RUN2,12.5009,-39.3696,-1580.88543714492,-3909.08241412075,2105.21447388671
insect.M.distribution90t7.1_PA2_RUN2,1.8059,36.7052,2061.95505107432,3152.44687305911,-378.897180946405
insect.M.distribution90t7.1_PA2_RUN2,28.916,11.0942,7694.14470386274,3061.04472235568,283.102937593485
insect.M.distribution90t7.1_PA2_RUN2,1.1903,29.1038,7152.52128396761,-3226.45287766897,-235.458887609405
insect.M.distribution90t7.1_PA2_RUN2,0.5533,36.0223,2061.9608152263,3152.00009193924,-378.882808072258
insect.M.distribution90t7.1_PA2_RUN2,-40.8758,36.1436,-9014.99921776721,-538.857682459256,5314.98819886046
insect.M.distribution90t7.1_PA2_RUN2,42.7178,33.0179,6304.71987214615,3098.74235769233,179.319247266772
insect.M.distribution90t7.1_PA2_RUN2,126.5422,51.0326,8544.9077710229,-2184.22924103222,-136.906572112368
insect.M.distribution90t7.1_PA2_RUN2,13.9068,40.34,3032.19171449276,3140.25013559609,-125.692310725711
insect.M.distribution90t7.1_PA2_RUN2,13.7672,40.6559,3032.18707455732,3140.24321092371,-125.699710283646
insect.M.distribution90t7.1_PA2_RUN2,28.9386,11.1209,7694.14470386274,3061.04472235568,283.102937593485
