Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.92856E-3,0.192856332,0.097371143,1,0,0
1.93839E-3,0.386694966,0.097818583,0.983333333,0,0
3.90493E-3,0.77718816,0.179267734,0.966666667,0,0
4.09538E-3,1.186726267,0.186381319,0.95,0,0
7.12795E-3,1.899521072,0.285052958,0.933333333,0,0
8.47849E-3,2.747369801,0.321688083,0.916666667,0,0
8.72035E-3,3.619405285,0.327856253,0.9,0,0
8.75205E-3,4.494609927,0.328656158,0.883333333,0,0
8.95894E-3,5.390504158,0.333831844,0.866666667,0,0
8.98257E-3,6.288761,0.3344178,0.85,0,0
9.11366E-3,7.200126515,0.337650273,0.833333333,0,0
1.01964E-2,8.219766539,0.363195336,0.816666667,0,0
1.12458E-2,9.344350096,0.386141869,0.8,0,0
1.30211E-2,10.646464118,0.421411266,0.783333333,0,0
1.33712E-2,11.983580717,0.427892161,0.766666667,0,0
1.34614E-2,13.329724002,0.429540015,0.75,0,0
1.59671E-2,14.926434977,0.47177356,0.733333333,0,0
1.65379E-2,16.580222797,0.48053397,0.716666667,0,0
1.673E-2,18.253227129,0.483418385,0.7,0,0
1.71241E-2,19.965635979,0.48923398,0.683333333,0,0
1.72979E-2,21.695425894,0.491757787,0.666666667,0,0
1.79346E-2,23.488887226,0.500793913,0.65,0,0
1.79755E-2,25.286441395,0.501363783,0.633333333,0,0
1.80387E-2,27.090312986,0.502240844,0.616666667,0,0
1.81363E-2,28.903943585,0.503589661,0.6,0,0
1.82621E-2,30.730158464,0.505318212,0.583333333,0,0
1.84986E-2,32.580019253,0.508533817,0.566666667,0,0
1.85542E-2,33.238292594,0.509284136,0.55,0,0
1.86562E-2,34.445643537,0.51065437,0.55,0.333333333,0
1.8667E-2,36.31234585,0.510798721,0.533333333,0.333333333,0
1.8738E-2,38.18614961,0.511747502,0.516666667,0.333333333,0
1.88156E-2,40.067706058,0.512779099,0.5,0.333333333,0
1.88613E-2,41.953840618,0.513386232,0.483333333,0.333333333,0
1.90495E-2,43.858791008,0.515865713,0.466666667,0.333333333,0
1.90721E-2,45.766004699,0.516162261,0.45,0.333333333,0
1.91209E-2,47.678094465,0.516799914,0.433333333,0.333333333,0
1.919E-2,49.597091406,0.517700306,0.416666667,0.333333333,0
1.9379E-2,51.534991024,0.520147314,0.4,0.333333333,0
1.97276E-2,53.207549033,0.524595108,0.383333333,0.333333333,0
1.97682E-2,53.402590443,0.525108415,0.383333333,0.666666667,0
1.97915E-2,53.514136712,0.525401483,0.383333333,1,0
2.00339E-2,55.5175266,0.528436503,0.366666667,1,0
2.00582E-2,57.523350938,0.528739117,0.35,1,0
2.01749E-2,59.540841397,0.530183901,0.333333333,1,0
2.02194E-2,61.562777035,0.530732084,0.316666667,1,0
2.03752E-2,63.600294974,0.532643643,0.3,1,0
2.03827E-2,65.638564212,0.532735415,0.283333333,1,0
2.0638E-2,67.702361959,0.535832479,0.266666667,1,0
2.07074E-2,69.773099508,0.536667317,0.25,1,0
2.07443E-2,71.847525856,0.537109847,0.233333333,1,0
2.08656E-2,73.934087881,0.538559769,0.216666667,1,0
2.09106E-2,76.025143521,0.539094346,0.2,1,0
2.09305E-2,78.11819376,0.539331234,0.183333333,1,0
2.1047E-2,80.222897979,0.540710464,0.166666667,1,0
2.11237E-2,82.335264667,0.541612814,0.15,1,0
2.1443E-2,84.479566815,0.545335733,0.133333333,1,0
2.16752E-2,86.647089326,0.548004931,0.116666667,1,0
2.16855E-2,88.815637947,0.54812216,0.1,1,0
2.19262E-2,91.008262749,0.550855426,0.083333333,1,0
2.21649E-2,93.224755167,0.553532573,0.066666667,1,0
2.21776E-2,95.442518591,0.553674242,0.05,1,0
2.25849E-2,97.701004913,0.558166211,0.033333333,1,0
2.299E-2,100,0.562545743,0.016666667,1,0
